WellID ScreenedInterval FillResidualSoilExtent SaproliteExtent PWRExtent BedrockExtent Type
B04639 140-160 0-35 35-125 125-160 160+ Monitoring
B04640 147-167 0-49 49-108 108-157 157+ Monitoring
B04641 156-176 0-41 41-106 106-176 176+ Monitoring
B04642 115-135 0-23 23-107 107-127 127+ Monitoring
B04643 94-164 0-35 35-95 95-161 161+ Injection
B04644 147-187 0-30 30-150 150-183 183+ Injection
B04645 120-170 0-37 37-120 120-174 174+ Injection
B04646 92-172 0-35 35-90 90-165 165+ Injection
B04647 105-185 0-39 39-105 105-185 185+ Injection
B04648 174-214 0-70 70-174 174-205 205+ Injection
B04649 192-247 0-66 66-155 155-227 227+ Injection
B04650 118-163 0-77 77-120 120-157 157+ Injection
B04651 137-197 0-56 56-137 137-193 193+ Injection
B04652 152-247 0-57 57-152 152+ ND Injection
B04653 130-190 0-57 57-135 135-185 185+ Injection
B04654 112-157 0-56 56-114 114-157 157+ Injection
B04655 118-153 0-35 35-123 123-150 150+ Injection
B04656 125-165 0-50 50-125 125-162 162+ Injection
B04657 100-165 0-57 57-102 102-157 157+ Injection
B04658 85-135 0-47 47-90 90-132 132+ Injection
B04659 87-177 0-37 37-87 87-166 166+ Injection
B04660 130-160 0-43 43-137 137-157 157+ Injection
B04661 102-132 0-35 35-105 105-132 132+ Injection
B04662 80-120 0-34 34-80 80-118 118+ Injection
B04663 55-75 0-15 15-45 45-75 75+ Injection
B04664 112-152 0-47 47-107 107-147 147+ Injection
B04665 112-142 0-65 65-125 125-140 140+ Injection
B04666 95-120 0-28 28-95 95-115 115+ Injection
B04667 52-102 0-30 30-55 55-95 95+ Injection
B04668 60-105 0-37 37-87 87-103 103+ Injection
B04669 40-60 0-25 25-47 47-60 60+ Injection
B04670 50-105 0-37 37-53 53-103 103+ Injection
