"","ints","mean.K","mean.EC","mean.ECD","mean.PID","mean.FID","max.K","max.EC","max.ECD","max.PID","max.FID","MiHPT_ID","max.depth","top","bottom"
"1","(-5e-09,5]",NA,2.4061038961039,226166.56,12720.84,36817.82,-Inf,3.56,249031,12970,48830,"MIHPT-02",88.55,0,5
"2","(5,10]",NA,6.1033,217633.58,12421.07,41212.52,-Inf,10.74,544450,12741,53713,"MIHPT-02",88.55,5,10
"3","(10,15]",NA,7.8132,344297.66,12183.69,45900.19,-Inf,13.11,990020,12436,68361,"MIHPT-02",88.55,10,15
"4","(15,20]",NA,6.2592,406836.16,11977.87,53810.44,-Inf,12.37,1887265,12284,126957,"MIHPT-02",88.55,15,20
"5","(20,25]",NA,4.7161,209967.36,11745.01,40675.39,-Inf,7.75,450453,12055,58596,"MIHPT-02",88.55,20,25
"6","(25,30]",NA,3.7916,228009.91,11522.13,38185.06,-Inf,5.58,556658,11750,48830,"MIHPT-02",88.55,25,30
"7","(30,35]",NA,4.4705,250093.08,11317.84,44337.56,-Inf,6.26,563982,11521,87893,"MIHPT-02",88.55,30,35
"8","(35,40]",2.07892307054538,4.0927,177666.56,11075.29,35987.71,14,7.42,219733,11292,43947,"MIHPT-02",88.55,35,40
"9","(40,45]",14.4750000029057,3.5549,211456.7,9980.27,41261.35,27,4.68,312510,11063,48830,"MIHPT-02",88.55,40,45
"10","(45,50]",22.3379999981076,3.6873,259431.77,9267.74,44191.15,27,5.3,379650,9461,53713,"MIHPT-02",88.55,45,50
"11","(50,55]",18.4097999966145,4.2187,244856.13,9097.61,44288.81,25,6.02,285653,9308,53713,"MIHPT-02",88.55,50,55
"12","(55,60]",0.247500000596046,6.4709,189654.32,8967.19,44288.81,5.09999990463257,8.43,207526,9308,53713,"MIHPT-02",88.55,55,60
"13","(60,65]",7.57250000424683,5.5909,185455.05,8820.57,44777.11,23,9.67,189215,9003,58596,"MIHPT-02",88.55,60,65
"14","(65,70]",8.56666652361552,6.675,192877.166666667,8774,59409.5,9.80000019073486,7.2,200201,8850,68361,"MIHPT-02",88.55,65,70
"15","(70,75]",11.7916161645241,5.95111111111111,165823.323232323,1463.66666666667,28558.1515151515,78,11.54,197760,1602,48830,"MIHPT-02",88.55,70,75
"16","(75,80]",0.100000001490116,7.129,159611.81,1596.13,28174.91,0.100000001490116,13.18,166021,1679,34181,"MIHPT-02",88.55,75,80
"17","(80,85]",0.100000001490116,10.3671,157536.69,1688.66,28663.21,0.100000001490116,48.9,163579,1907,39064,"MIHPT-02",88.55,80,85
"18","(85,90]",25.0022222229176,5.43666666666667,160234.36,1779.36,28028.42,63,6.73,164800,1984,39064,"MIHPT-02",88.55,85,90
"19","(25,30]",NA,NA,156438,2231.85,19043.6,-Inf,-Inf,158696,2365,20753,"MIHPT-03",98.3,25,30
"20","(30,35]",NA,5.1460824742268,164824.41,2266.87,23194.14,-Inf,10.11,200201,2518,63478,"MIHPT-03",98.3,30,35
"21","(35,40]",7.96818183802746,3.3035,257454.14,2357.44,25000.85,13,3.8,557878,2518,34181,"MIHPT-03",98.3,35,40
"22","(40,45]",8.40779999367893,3.7126,177275.95,2371.15,25501.34,19,4.07,200201,2594,31739,"MIHPT-03",98.3,40,45
"23","(45,50]",15.137000002861,3.4461,199127.2,2429.83,27234.83,19,3.77,223396,2594,32960,"MIHPT-03",98.3,45,50
"24","(50,55]",12.5869999977201,3.636,201617.48,2439.02,29566.37,18,4.03,249031,2594,46388,"MIHPT-03",98.3,50,55
"25","(55,60]",6.32209999911487,4.1806,170000.33,2461.91,29493.13,16,4.64,225837,2670,41505,"MIHPT-03",98.3,55,60
"26","(60,65]",2.42049999155104,5.0278,151262.01,2396.26,27942.86,11,8.07,156255,2518,39064,"MIHPT-03",98.3,60,65
"27","(65,70]",4.13079999886453,4.8052,154301.74,2419.14,28186.99,19,8.22,159917,2594,45167,"MIHPT-03",98.3,65,70
"28","(70,75]",1.62540001146495,6.9994,158415.51,2442.85,28479.99,24,8.73,169683,2747,74465,"MIHPT-03",98.3,70,75
