"","ints","mean.K","mean.EC","mean.ECD","mean.PID","mean.FID","max.K","max.EC","max.ECD","max.PID","max.FID","MiHPT_ID","max.depth","top","bottom"
"38","(37,38]",0.949999975040555,3.783,168889.45,11044.05,35890.05,8.89999961853027,4.06,205084,11216,39064,"MIHPT-02",88.55,37,38
"39","(38,39]",3.20650003664195,3.6945,189947.15,11013.55,35890.05,14,4.01,212409,11216,43947,"MIHPT-02",88.55,38,39
"40","(39,40]",2.96499997191131,3.5935,195623.6,11017.4,37599.1,7.90000009536743,3.94,219733,11139,43947,"MIHPT-02",88.55,39,40
"41","(40,41]",6.6299999833107,3.5955,231452.45,10994.4,36866.65,7.90000009536743,4.38,312510,11063,48830,"MIHPT-02",88.55,40,41
"42","(41,42]",9.87500003352761,3.393,216315.25,10593.85,38819.85,21,4.13,284432,11063,48830,"MIHPT-02",88.55,41,42
"43","(42,43]",16.5749999929219,3.4475,210944,9410.95,42237.95,27,4.01,234382,9690,48830,"MIHPT-02",88.55,42,43
"44","(43,44]",19.8,3.6535,196661.3,9418.6,44679.45,22,4.68,201422,9537,48830,"MIHPT-02",88.55,43,44
"45","(44,45]",20.2,3.6775,202215.7,9399.6,43458.7,22,4.61,208747,9537,48830,"MIHPT-02",88.55,44,45
"46","(45,46]",20.3,3.632,218268.4,9334.75,44923.6,21,4.27,225837,9461,53713,"MIHPT-02",88.55,45,46
"47","(46,47]",22.15,3.6465,222052.75,9292.85,44191.15,24,4.13,256356,9461,48830,"MIHPT-02",88.55,46,47
"48","(47,48]",23.8,3.7525,321298.8,9258.6,44191.15,25,4.12,379650,9384,48830,"MIHPT-02",88.55,47,48
"49","(48,49]",21.1399999905378,3.6635,283089.7,9251,43458.7,27,5.3,329600,9384,48830,"MIHPT-02",88.55,48,49
"50","(49,50]",24.3,3.7435,255378.95,9193.9,44679.45,26,4.09,267342,9308,53713,"MIHPT-02",88.55,49,50
"51","(50,51]",23.1,3.853,258003.4,9178.7,45167.75,25,4.53,278329,9308,48830,"MIHPT-02",88.55,50,51
"52","(51,52]",21.9,3.9995,254280.25,9155.7,46144.35,25,4.19,285653,9308,53713,"MIHPT-02",88.55,51,52
"53","(52,53]",17.85,4.2665,242683.25,9052.45,41993.8,22,4.48,263680,9156,48830,"MIHPT-02",88.55,52,53
"54","(53,54]",17.3549999952316,4.233,245613,9052.5,43702.85,22,5.2,263680,9156,48830,"MIHPT-02",88.55,53,54
"55","(54,55]",10.7489999879152,4.8055,220648.9,9048.7,44435.3,18,6.02,242927,9156,53713,"MIHPT-02",88.55,54,55
"57","(56,57]",0.411500003933907,6.62,188970.85,9006.85,44191.15,2.20000004768372,7.53,192877,9156,53713,"MIHPT-02",88.55,56,57
"58","(57,58]",0.362999997287989,7.0725,185979.95,8938.25,42726.25,5.09999990463257,8.28,187994,9003,53713,"MIHPT-02",88.55,57,58
"60","(59,60]",0.457999998703599,4.8355,187566.7,8903.85,45900.2,4,5.53,189215,9003,53713,"MIHPT-02",88.55,59,60
"61","(60,61]",3.82700001783669,4.691,186040.9,8915.3,44923.6,14,5.19,189215,9003,58596,"MIHPT-02",88.55,60,61
"62","(61,62]",8.39500000998378,4.684,185491.65,8850.25,45411.9,17,5.29,186773,8927,53713,"MIHPT-02",88.55,61,62
"63","(62,63]",8.99050003327429,4.897,185430.6,8815.85,45656.05,22,5.32,186773,8927,53713,"MIHPT-02",88.55,62,63
"64","(63,64]",7.74499999582767,6.3985,184759.3,8766.4,43214.55,23,9.18,186773,8850,53713,"MIHPT-02",88.55,63,64
"65","(64,65]",9.05999995954335,7.4045,185369.7,8747.4,44679.45,18,9.67,187994,8850,48830,"MIHPT-02",88.55,64,65
"66","(65,66]",8.85999984741211,6.662,194342,8774,61525.4,9.80000019073486,7.2,200201,8850,68361,"MIHPT-02",88.55,65,66
"71","(70,71]",51.8,5.269,174809.95,1426.85,30518.75,78,6.57,197760,1526,48830,"MIHPT-02",88.55,70,71
"72","(71,72]",2.9400000013411,5.3795,165288.15,1442.1,28565.55,43,6.04,169683,1526,39064,"MIHPT-02",88.55,71,72
"73","(72,73]",1.22500000111759,5.203,164555.75,1476.55,30030.45,7.19999980926514,6.9,170904,1602,34181,"MIHPT-02",88.55,72,73
"74","(73,74]",2.30850001052022,6.367,163212.8,1495.55,28077.25,15,8.37,166021,1602,34181,"MIHPT-02",88.55,73,74
"87","(86,87]",46.65,5.408,160344.25,1770.2,27100.65,63,6.73,164800,1831,34181,"MIHPT-02",88.55,86,87
"88","(87,88]",47.5,5.552,161680.111111111,1890.33333333333,30383.1111111111,49,6.63,164800,1984,39064,"MIHPT-02",88.55,87,88
"101","(38,39]",12,3.3145,311715.95,2368.8,24598,12,3.45,343028,2441,29298,"MIHPT-03",98.3,38,39
"102","(39,40]",7.29500001706183,3.4635,216803.5,2384.15,23132.95,13,3.68,263680,2518,26856,"MIHPT-03",98.3,39,40
"103","(40,41]",13.35,3.595,184331.9,2368.9,23072,15,3.82,192877,2518,25636,"MIHPT-03",98.3,40,41
"104","(41,42]",8.02000000998378,3.753,184209.8,2391.65,24415,14,3.93,196539,2518,26856,"MIHPT-03",98.3,41,42
"105","(42,43]",0.965500006452203,3.804,156926.2,2330.85,25879.7,4.90000009536743,4.01,177007,2594,29298,"MIHPT-03",98.3,42,43
"106","(43,44]",5.15849994719029,3.7695,168340.05,2357.45,26673.25,12,4.07,181890,2518,29298,"MIHPT-03",98.3,43,44
"107","(44,45]",14.8650000095367,3.6295,191839.4,2406.9,27588.85,19,3.93,200201,2594,31739,"MIHPT-03",98.3,44,45
"108","(45,46]",15.05,3.449,195806.8,2456.5,28016.15,16,3.73,211188,2594,31739,"MIHPT-03",98.3,45,46
"109","(46,47]",13.0350000143051,3.5835,199591.05,2449,27405.7,17,3.77,216071,2518,32960,"MIHPT-03",98.3,46,47
"110","(47,48]",15.15,3.53,190069.25,2425.95,26551.1,19,3.72,208747,2518,29298,"MIHPT-03",98.3,47,48
"111","(48,49]",16.05,3.39,206183.1,2399.25,26673.25,18,3.62,223396,2518,29298,"MIHPT-03",98.3,48,49
"112","(49,50]",16.45,3.261,204474.05,2422.25,27650,18,3.48,218513,2594,30519,"MIHPT-03",98.3,49,50
"113","(50,51]",11.174999981001,3.3455,206121.95,2425.9,27466.6,13,3.53,220954,2518,30519,"MIHPT-03",98.3,50,51
"114","(51,52]",13.510000000149,3.4985,208563.5,2410.75,28382.25,18,3.88,217292,2518,31739,"MIHPT-03",98.3,51,52
"115","(52,53]",15.6,3.7395,192266.7,2426.1,28992.75,18,3.88,201422,2594,34181,"MIHPT-03",98.3,52,53
"116","(53,54]",15.2450000096112,3.8695,196173.05,2456.6,30335.45,18,4.03,213630,2594,39064,"MIHPT-03",98.3,53,54
"117","(54,55]",7.50499999783933,3.768,205999.85,2483.4,33326.2,18,4.02,249031,2594,46388,"MIHPT-03",98.3,54,55
"118","(55,56]",7.96499999538064,3.9505,201483.35,2510,32532.8,12,4.16,225837,2670,40284,"MIHPT-03",98.3,55,56
"119","(56,57]",5.97500006258488,4.182,172002.15,2468.05,29053.7,13,4.35,184332,2670,34181,"MIHPT-03",98.3,56,57
"120","(57,58]",4.76549998745322,4.134,162846.65,2479.45,29114.65,13,4.39,172124,2594,35401,"MIHPT-03",98.3,57,58
"121","(58,59]",7.86500002145767,4.2345,156987.25,2429.85,28138.15,13,4.41,159917,2518,31739,"MIHPT-03",98.3,58,59
"122","(59,60]",4.78999992869795,4.438,153508.35,2414.55,28077.05,11,4.64,156255,2518,31739,"MIHPT-03",98.3,59,60
"123","(60,61]",1.80000000782311,4.603,151860.25,2414.55,28077.2,8.10000038146973,4.83,153813,2518,30519,"MIHPT-03",98.3,60,61
"124","(61,62]",5.65999995730817,4.709,152165.45,2387.85,28138.2,9.39999961853027,5.02,156255,2518,34181,"MIHPT-03",98.3,61,62
"125","(62,63]",1.70999999158084,4.725,151127.7,2365,27161.5,7,4.95,155034,2441,29298,"MIHPT-03",98.3,62,63
"126","(63,64]",1.69500000961125,5.882,150334.15,2387.9,26368.1,7.19999980926514,8.07,152593,2518,30519,"MIHPT-03",98.3,63,64
"127","(64,65]",0.692499991506338,5.2105,150700.4,2426,29908.25,4.69999980926514,6.72,155034,2518,39064,"MIHPT-03",98.3,64,65
"128","(65,66]",1.8149999897927,4.8605,152287.6,2418.3,28748.6,4.80000019073486,5.69,153813,2518,35401,"MIHPT-03",98.3,65,66
"129","(66,67]",1.89449999891222,4.42,153019.85,2387.85,26856.3,7.09999990463257,5.67,153813,2518,29298,"MIHPT-03",98.3,66,67
"130","(67,68]",3.4685000281781,4.1915,153080.95,2422.15,29603.1,12,5.18,155034,2518,37843,"MIHPT-03",98.3,67,68
"131","(68,69]",9.07500000521541,5.585,156499.1,2429.95,28626.35,19,6.12,159917,2518,45167,"MIHPT-03",98.3,68,69
"132","(69,70]",4.40099997222424,5.1005,156987.45,2433.65,26856.45,16,8.22,159917,2594,30519,"MIHPT-03",98.3,69,70
"133","(70,71]",1.25000000596046,5.6635,156376.8,2414.7,30701.6,7.69999980926514,6.43,169683,2747,74465,"MIHPT-03",98.3,70,71
"134","(71,72]",6.4300000436604,6.0545,158940.35,2483.3,31129,24,7.51,168462,2747,56154,"MIHPT-03",98.3,71,72
"136","(73,74]",0.137000000104308,8.2705,159245.65,2437.45,24842.35,0.839999973773956,8.73,162358,2594,25636,"MIHPT-03",98.3,73,74
"137","(74,75]",0.210000006109476,7.245,158635.25,2418.45,25147.4,1.20000004768372,7.84,162358,2518,28077,"MIHPT-03",98.3,74,75
"138","(75,76]",0.34550000615418,8.3145,159489.85,2395.45,24231.6,2.20000004768372,9.74,168462,2518,32960,"MIHPT-03",98.3,75,76
"139","(76,77]",1.1940000012517,8.523,160283.3,2399.35,23377.15,3.70000004768372,12.77,172124,2518,28077,"MIHPT-03",98.3,76,77
"140","(77,78]",3.94000000581145,9.023,166509,2414.65,27283.55,22,14.32,175787,2594,36622,"MIHPT-03",98.3,77,78
"141","(78,79]",0.335000010952353,13.19,163823.3,2422.15,28870.55,4.80000019073486,17.89,173345,2670,46388,"MIHPT-03",98.3,78,79
"142","(79,80]",0.98499999269843,7.4285,166508.9,2365.1,23987.6,4.09999990463257,9.5,173345,2594,26856,"MIHPT-03",98.3,79,80
"143","(80,81]",0.449500006437302,8.1435,168767.35,2365.05,23499.25,2.70000004768372,11.47,178228,2518,30519,"MIHPT-03",98.3,80,81
"144","(81,82]",2.9800000436604,10.2685,168950.45,2384.1,23254.95,9,11.94,175787,2518,28077,"MIHPT-03",98.3,81,82
"145","(82,83]",1.77050000727177,8.3235,168828.25,2414.6,23071.9,6.40000009536743,9.22,174566,2594,25636,"MIHPT-03",98.3,82,83
"146","(83,84]",7.21000002622604,6.4065,164189.4,2380.3,23194.05,15,8.91,170904,2518,25636,"MIHPT-03",98.3,83,84
"147","(84,85]",8.87999995723367,4.737,161931.25,2422.1,26368.15,15,5.36,167241,2518,30519,"MIHPT-03",98.3,84,85
"148","(85,86]",3.08250000849366,5.066,160893.6,2399.35,24598,13,5.98,163579,2518,28077,"MIHPT-03",98.3,85,86
"149","(86,87]",7.94999993368983,5,161381.85,2395.4,24781.1,20,6.06,164800,2441,26856,"MIHPT-03",98.3,86,87
"150","(87,88]",18.5,9.31,164311.5,2414.6,26734.25,28,10.84,169683,2594,37843,"MIHPT-03",98.3,87,88
"151","(88,89]",9.60999997667968,10.4515,165532.4,2448.85,25879.8,24,15.08,174566,2594,42726,"MIHPT-03",98.3,88,89
"152","(89,90]",10.8099999573082,7.7215,163151.9,2410.75,24598,16,12.31,167241,2594,30519,"MIHPT-03",98.3,89,90
"154","(91,92]",0.162000002712011,9.152,168645.25,2395.5,25696.65,1.10000002384186,12.13,175787,2594,31739,"MIHPT-03",98.3,91,92
"155","(92,93]",5.51299998648465,6.9715,165837.55,2399.4,23926.55,11,8.51,168462,2518,26856,"MIHPT-03",98.3,92,93
"156","(93,94]",9.95499997138977,6.5615,164372.65,2380.2,23132.95,12,7.15,167241,2441,25636,"MIHPT-03",98.3,93,94
"157","(94,95]",10.710000038147,6.71,163334.9,2365.05,22522.5,13,7.27,166021,2518,24415,"MIHPT-03",98.3,94,95
"158","(95,96]",12.1949999809265,6.427,163029.6,2387.8,22278.45,15,6.67,166021,2441,24415,"MIHPT-03",98.3,95,96
"159","(96,97]",9.53888885718253,6.7785,163884.25,2422.2,21912.05,12,7.54,164800,2594,23194,"MIHPT-03",98.3,96,97
"198","(36,37]",49.875,2.6905,166509,2414.6,19226.75,69,6.06,197760,2594,20753,"MIHPT-04",103.25,36,37
"199","(37,38]",62.55,2.5625,196844.45,2460.5,20935.65,67,4.02,250252,2594,23194,"MIHPT-04",103.25,37,38
"200","(38,39]",59.55,2.6045,155827.5,2441.2,19715.1,64,3.87,166021,2594,21973,"MIHPT-04",103.25,38,39
"201","(39,40]",57.6,2.6765,192449.8,2437.35,20081.3,63,3.08,261238,2594,23194,"MIHPT-04",103.25,39,40
"202","(40,41]",49.7,2.816,232367.85,2452.6,21118.9,54,3.92,257576,2594,23194,"MIHPT-04",103.25,40,41
"203","(41,42]",6.08250002451241,2.9715,184759.25,2460.3,21546.05,35,3.66,197760,2594,24415,"MIHPT-04",103.25,41,42
"204","(42,43]",15.6050000071526,2.9535,196356.2,2559.6,21790.15,23,6.14,220954,2823,28077,"MIHPT-04",103.25,42,43
"205","(43,44]",24.05,3.096,219672.2,2670.25,22705.8,26,4.78,247810,2823,25636,"MIHPT-04",103.25,43,44
"206","(44,45]",24.15,3.101,285042.9,2708.4,23377.1,25,4.07,319834,2823,29298,"MIHPT-04",103.25,44,45
"207","(45,46]",20.575,3.1615,327280.6,2700.85,23621.2,26,5.2,395520,2899,26856,"MIHPT-04",103.25,45,46
"208","(46,47]",19.45,3.4015,309030.4,2723.75,23804.4,23,6.74,333262,2899,26856,"MIHPT-04",103.25,46,47
"209","(47,48]",26,3.3705,278756.05,2727.6,23560.3,27,4.87,310068,2823,25636,"MIHPT-04",103.25,47,48
"210","(48,49]",25.35,3.2945,292794.6,2723.85,23194.05,27,4.44,349132,2823,24415,"MIHPT-04",103.25,48,49
"211","(49,50]",26.75,3.2645,400341.85,2742.9,23499.25,28,3.56,457778,2823,25636,"MIHPT-04",103.25,49,50
"212","(50,51]",23.75,3.43,335398.3,2796.25,23804.5,25,4.24,355235,3052,24415,"MIHPT-04",103.25,50,51
"213","(51,52]",23.65,3.6615,318918.4,2762.05,24659.1,24,7.33,335704,2899,26856,"MIHPT-04",103.25,51,52
"214","(52,53]",22.95,3.8455,268623.85,2731.55,23438.2,24,5.25,341807,2823,25636,"MIHPT-04",103.25,52,53
"215","(53,54]",19.3650000002235,3.925,283883.1,2750.65,25391.5,25,6.68,306406,2899,28077,"MIHPT-04",103.25,53,54
"216","(54,55]",23.7,3.204,288766.1,2788.75,24903.3,26,4.33,321055,2899,28077,"MIHPT-04",103.25,54,55
"217","(55,56]",25.35,3.4955,270149.9,2788.8,23804.5,27,4.03,311289,2976,25636,"MIHPT-04",103.25,55,56
"218","(56,57]",29.05,4.123,252266.15,2758.25,23987.6,31,6.22,263680,2899,26856,"MIHPT-04",103.25,56,57
"219","(57,58]",25.8950000047684,3.6705,241706.75,2796.35,24842.1,30,4.17,288095,2976,28077,"MIHPT-04",103.25,57,58
"220","(58,59]",20.8899999856949,3.7505,259773.55,2788.7,26490.1,28,4.78,272225,2976,29298,"MIHPT-04",103.25,58,59
"221","(59,60]",28.6,3.9655,259651.45,2807.8,26551.3,29,5.69,288095,2976,30519,"MIHPT-04",103.25,59,60
"222","(60,61]",27.15,3.736,246833.75,2781.15,25818.85,28,5.8,262459,2899,28077,"MIHPT-04",103.25,60,61
"223","(61,62]",26.4,3.299,271492.75,2807.65,27283.75,30,4.36,307627,2899,32960,"MIHPT-04",103.25,61,62
"224","(62,63]",27.45,3.2745,238532.75,2777.25,25940.85,33,4.61,266121,2899,34181,"MIHPT-04",103.25,62,63
"225","(63,64]",17.9550000190735,3.179,258857.95,2826.9,35279.45,33,5.03,336924,2976,63478,"MIHPT-04",103.25,63,64
"226","(64,65]",7.9149999961257,3.306,234443.2,2815.45,30396.6,33,4.28,301523,2976,39064,"MIHPT-04",103.25,64,65
"227","(65,66]",0.854999994114041,3.976,221930.65,2811.6,30274.45,7.5,7.3,236824,2899,34181,"MIHPT-04",103.25,65,66
"228","(66,67]",18.8800000190735,3.636,233283.55,2811.6,33631.35,36,5.35,249031,2899,37843,"MIHPT-04",103.25,66,67
"229","(67,68]",35.2,3.686,203680.55,2811.6,26612.35,39,4.22,235603,2976,30519,"MIHPT-04",103.25,67,68
