LOCID,ECOORD,NCOORD,ELEV
1MW12,392493.157222222,1428463.95833333,1068.46
3LTP,388117.097222222,1424573.45833333,1070
6MW8,389122.287222222,1427865.86833333,1109.5
8GSE01,390184.097222222,1431281.45833333,1035
8GSE02,390290.097222222,1431266.45833333,1030
8GSW01,390524.097222222,1431277.45833333,1023
8GSW02,390290.117222222,1431266.47833333,1030.02
8HAA01,390325.097222222,1431292.45833333,1038
8HAA02,390469.097222222,1431337.45833333,1030
8HAA03,390435.097222222,1431309.45833333,1030
8HAA04,390419.097222222,1431215.45833333,1026
8HAA05,390500.097222222,1431195.45833333,1026
8HAA06,390537.097222222,1431187.45833333,1027
8HAA07,390571.097222222,1431182.45833333,1028
8HAA08,390625.097222222,1431222.45833333,1028
8HAA09,390393.097222222,1431191.45833333,1036
8HAA10,390104.097222222,1431196.45833333,1065
8HAA11,390189.097222222,1431177.45833333,1057
8HAA12,390391.097222222,1431136.45833333,1048
8HAA13,390481.097222222,1431145.45833333,1044
8HAA14,390539.097222222,1431118.45833333,1049
8HAA15,390306.097222222,1431130.45833333,1061
8HAA16,390371.097222222,1431086.45833333,1065
8HAA17,390445.097222222,1431092.45833333,1061
8HAA18,390525.097222222,1431076.45833333,1063
8HAA19,390569.097222222,1431050.45833333,1061
8HAA20,390309.097222222,1430731.45833333,1082
8MWT01,390651.417222222,1431192.20833333,1037
8MWT02,390555.927222222,1431287.45833333,1030
8MWT03,390478.827222222,1431169.04833333,1039
AFFHP001,390081.887222222,1424252.00833333,1040.59
AFFHP002,390157.987222222,1424239.71833333,1040.25
AFFHP003,390224.817222222,1424232.32833333,1040.82
AFFHP004,390291.477222222,1424231.62833333,1041.29
AFFHP005,390358.927222222,1424230.20833333,1040.98
AFFHP006,390425.687222222,1424228.80833333,1041.32
AFFHP007,390493.607222222,1424226.09833333,1040.86
AFFHP008,390488.037222222,1424247.40833333,1040.76
AFFHP009,390478.907222222,1424281.46833333,1040.23
AFFHP010,390301.347222222,1424119.74833333,1045.83
AFFHP011,390294.867222222,1424101.12833333,1046.12
AFFHP012,390270.557222222,1424116.10833333,1044.4
AFFHP013,390177.887222222,1424149.61833333,1040.83
AFFHP014,390124.367222222,1424151.18833333,1040.12
AFFHP015,390074.877222222,1424152.70833333,1038.51
AFFHP016,390290.707222222,1424189.09833333,1040.88
AFFHP017,390216.247222222,1424285.03833333,1040.08
AFFHP018,390294.167222222,1424289.99833333,1040.65
AFFHP019,390361.337222222,1424286.41833333,1040.71
AFFHP020,390428.217222222,1424284.04833333,1040.82
AFFHP021,390164.667222222,1424375.89833333,1032.22
AFFHP022,390468.417222222,1424197.39833333,1041.17
AFFHP023,390512.477222222,1424254.14833333,1040.84
AFFHP024,390330.747222222,1424331.91833333,1037.72
AFFHP025,390147.727222222,1424195.92833333,1039.77
AFFHP026,390230.077222222,1424137.40833333,1041.39
AFFMW01,390528.907222222,1424155.29833333,1045.21
AFFMW02,390472.897222222,1424262.25833333,1041.26
AFFMW03,390268.707222222,1424207.43833333,1041.23
AFFMW04,390163.117222222,1424405.86833333,1031.2
AFFSWSD01,390119.097222222,1424386.45833333,1030
AFFSWSD02,390114.097222222,1424391.45833333,1030
AFP0601-001,391480.509866832,1428478.18163511,1080.04
AFP0601-002,391552.069429461,1428451.61179927,1079.45
AFP0601-003,391516.009650185,1428438.92187682,1080.07
AFP0601-004,391495.209775751,1428571.36106267,1081
AFP0601-005,391585.989221063,1428525.06134831,1075
AFP0601-006,391516.289648149,1428464.90171716,1081
AFP0602-001,393748.176104979,1419625.18607286,1022.13
AFP0602-002,393665.376614095,1419416.56735412,1021.73
AFP0602-003,393909.225119841,1419615.28613565,1023.3
AFP0602-004,393603.676987761,1419724.46546089,1021
AFP0602-005,393625.196868481,1418721.35162681,1118
AFP0602-006,393787.295867,1419515.92674489,1025
AFP0603-001,390358.946730141,1428238.40309476,1107.11
AFP0603-002,390598.615265749,1428112.13387372,1073
AFP0604-001,390412.396386434,1429564.4149466,1108.2
AFP0604-002,390463.656073121,1429546.98505434,1108.16
AFP0604-003,390438.976223531,1429590.21478838,1107.75
AFP0604-004,390440.266215989,1429562.29495998,1110
AFP0605-001,393594.707011359,1422262.17986319,1035
AFP0606-001,394611.190782131,1423159.73435898,1018.01
AFP0606-002,394855.459290142,1422971.97551589,1013.89
AFP0606-003,394716.940138355,1422903.03593793,1014.51
