LOCID,ECOORD,NCOORD,ELEV,MPELEV,IBDEPTH,IEDEPTH,maxdepth,zero,ECOORD.1,NCOORD.1
AS-A,390248.362986,1430266.230617,1094.9921879999999,NA,NA,NA,NA,0,390248.362986,1430266.230617
AS-B,390309.625783,1430282.788694,1093.4016449999999,NA,NA,NA,NA,0,390309.625783,1430282.788694
AS-C,390336.668999,1430243.62458,1086.072952,NA,NA,NA,NA,0,390336.668999,1430243.62458
ATSG01,390821.878,1430665.573,ND,NA,NA,NA,NA,0,390821.878,1430665.573
B04544,392026.42,1429583.17,1090.69,NA,NA,NA,NA,0,392026.42,1429583.17
B04545,389785.44,1429462.02,1107.23,1106.79,150,160,160,0,389785.44,1429462.02
B04546,389958.33,1429590.61,1109.28,1109.09,114,124,124,0,389958.33,1429590.61
B04547,390007.64,1429859.98,1104.54,1104.21,153,163,163,0,390007.64,1429859.98
B04548,390139.29,1429860.27,1108.31,1107.92,127,137,137,0,390139.29,1429860.27
B04549,390239.94,1430044.55,1096.75,1096.49,118,128,128,0,390239.94,1430044.55
B04550,390522.53,1430230.13,1072.34,NA,NA,NA,NA,0,390522.53,1430230.13
B04551,390490.29,1430598.67,1075.83,NA,NA,NA,NA,0,390490.29,1430598.67
B04552,390762.96,1430994.52,1056.57,NA,NA,NA,NA,0,390762.96,1430994.52
B04553,390854.62,1430514.85,1042.37,NA,NA,NA,NA,0,390854.62,1430514.85
B04557,390790.45,1431116.34,1055.78,1058.55,43,113,113,0,390790.45,1431116.34
B04558,390908.96,1430613.22,1040.4100000000001,1043.16,114,124,124,0,390908.96,1430613.22
B04559,390858.91,1430531.47,1041.6600000000001,1044.45,84,94,94,0,390858.91,1430531.47
B04560,390871.041,1430422.336,1047.04,1049.35,87,97,97,0,390871.041,1430422.336
B04561,390871.74,1430426.394,1046.82,1049.56,55,65,65,0,390871.74,1430426.394
B04562,389913.184,1429672.973,1107.82,1107.63,134,184,184,0,389913.184,1429672.973
