LOCID,ECOORD,NCOORD,ELEV,z_on_topography,maxdepth,bedrock,depth_bedrock
DPT02M,390020.400001,1430058.99788,1103.376,1094.50477872,90,913.51275634766,180.9920223723401
DPT03M,390031.671256,1430051.01511,1106.776,1093.82137176,100,914.28509521484,179.53627654515992
DPT04M,390057.156834,1430022.78492,1098.536,1092.42234101,105,918.12139892578,174.30094208422008
DPT05M,390075.225241,1430017.35508,1100.998,1091.15665636,80,920.68255615234,170.47410020765994
DPT08M,390191.478872,1429915.07803,1107.829,1093.2896848,90,942.82672119141,150.46296360859003
DPT09M,390208.816264,1429903.53637,1105.003,1095.03584705,95,941.25787353516,153.77797351484003
DPT10M,390219.370503,1429896.43257,1099.827,1096.07465516,76,941.91906738281,154.15558777719002
DPT11M,390233.809831,1429875.38918,1103.781,1098.32196126,57,942.54803466797,155.77392659203008
DPT14M,390296.012237,1429832.65542,1103.627,1100.46843641,76,946.12744140625,154.3409950037501
DPT15M,390125.806336,1430247.03138,1095.561,1087.13444523,77,941.41479492188,145.71965030811998
DPT17M,390211.751281,1430175.92644,1094.658,1080.45014668,75,935.68676757813,144.76337910187
DPT20M,390263.724458,1430124.51892,1094.452,1069.61562068,88,941.33807373047,128.2775469495299
DPT21M,390286.664975,1430115.61918,1094.537,1065.26136609,92,947.98138427734,117.27998181265991
DPT22M,390301.893319,1430108.97437,1093.037,1063.95142987,75,952.16864013672,111.78278973328008
DPT23M,390317.160662,1430108.18039,1092.731,1062.11587183,13,953.32672119141,108.78915063859006
DPT24M,390368.42983,1430020.79193,1092.673,1074.17018158,45,957.02569580078,117.14448577921996
DPT26M,390430.355225,1430004.80338,1091.088,1073.9123314,70,1000.1995849609,73.7127464391001
DPT27M,390445.21156,1430000.3985,1091.383,1074.01790727,68,997.77697753906,76.24092973094002
DPT28M,390476.860273,1429992.31173,1091.915,1074.03224944,70,996.27490234375,77.75734709624999
DPT29M,390495.108684,1429986.5329,1091.472,1074.30872795,53,996.32550048828,77.98322746172005
DPT30M,390523.662327,1429977.39716,1091.357,1074.64038788,41,995.939453125,78.70093475499993
DPT31M,391035.334647,1430979.2939,1033.964,1020.82628391,52,917.10607910156,103.72020480844003
DPT32M,391052.976046,1430966.16928,1035.299,1020.65710497,45,918.95233154297,101.70477342702998
DPT33M,391070.876452,1430948.2208,1030.71,1020.58598348,46,923.76647949219,96.81950398780998
DPT34M,391086.461804,1430936.63414,1034.288,1020.57681392,57,925.52008056641,95.05673335358995
DPT36M,391078.141611,1430969.84417,1033.845,1020.87089088,55,918.05938720703,102.81150367297005
DPT37M,391115.832458,1430968.6682,1037.229,1021.07141388,46,918.93060302734,102.14081085266002
DPT38M,391100.170102,1430991.34554,1032.067,1021.13078493,55,914.54064941406,106.59013551594
DPT39M,391088.533847,1430954.9776,1034.185,1020.77738899,70,919.95471191406,100.82267707593996
DPT40M,391131.281807,1430961.32941,1028.874,1021.12828813,40,921.99176025391,99.13652787608999
DPT41M,391006.98601,1430978.23894,1028.987,1020.74349915,63,916.87579345703,103.86770569297005
DPT42M,391055.663099,1431006.17012,1032.215,1021.51669776,47,910.951171875,110.56552588500006
DPT43M,391023.088371,1430985.15673,1036.836,1021.03114746,37,914.00555419922,107.02559326078006
DPT44M,391062.359251,1431001.70925,1038.698,1021.33022398,52,913.07696533203,108.25325864797003
DPT45M,391068.8014,1430978.59692,1036.223,1020.95828936,55,916.62213134766,104.33615801233998
DPT46M,390337.827129,1430095.37576,1090.65,1062.52312173,60,956.13275146484,106.39037026515996
DPT47M,390354.64651,1430076.6533,1089.099,1064.20810975,55,958.75048828125,105.45762146874995
