LOCID,ECOORD,NCOORD,ELEV,MPELEV,IBDEPTH,IEDEPTH,maxdepth,zero,ECOORD.1,NCOORD.1,start_date,last_date,last_meas,last10mean,water_elev
8MWT01,390651.417222222,1431192.20833333,1037,1036.67,10,15,15,0,390651.417222222,1431192.20833333,1995-01-17,1995-01-17,2.02,2.02,1034.65
8MWT02,390555.927222222,1431287.45833333,1030,1030.15,5,10,10,0,390555.927222222,1431287.45833333,1995-01-17,1995-01-17,4.51,4.51,1025.64
8MWT03,390478.827222222,1431169.04833333,1039,1038.76,11,16,16,0,390478.827222222,1431169.04833333,1995-01-17,1995-01-17,7.42,7.42,1031.34
AFP0604-001,390412.396386434,1429564.41494659,1108.2,1108.21,28.91,38.91,38.91,0,390412.396386434,1429564.41494659,2017-11-21,2017-11-21,25.11,25.11,1083.1000000000001
AFP0604-002,390463.656073117,1429546.98505434,1108.16,1108.14,25.08,35.08,35.08,0,390463.656073117,1429546.98505434,2017-11-21,2017-11-21,24.98,24.98,1083.16
AFP0604-003,390438.976223527,1429590.21478838,1107.75,1107.71,29.7,39.7,39.7,0,390438.976223527,1429590.21478838,2017-11-19,2017-11-21,25.14,25.15,1082.56
AFP0607-001,390356.126710089,1431187.17497373,1038.02,1039.4,5.14,15.14,15.14,0,390356.126710089,1431187.17497373,2017-11-18,2017-11-21,8.48,8.504999999999999,1030.895
AFP0607-002,390481.215945398,1431155.16517199,1039.26,1039.7,13.9,23.9,23.9,0,390481.215945398,1431155.16517199,2017-11-18,2017-11-21,11.37,11.385,1028.315
AFP0607-003,390390.936499574,1430997.51613964,1073.31,1074.45,40.03,50.03,50.03,0,390390.936499574,1430997.51613964,2017-11-18,2017-11-21,38.4,38.435,1036.015
B04540,391062.847222222,1431020.56833333,1028.89,1031.88,90,100,100,0,391062.847222222,1431020.56833333,2005-04-18,2019-10-15,27.76,26.52,1005.3600000000001
B04542,390538.857222222,1429302.17833333,1109.1,1108.36,40,50,50,0,390538.857222222,1429302.17833333,2013-06-24,2018-04-02,26.99,27.272,1081.088
B04545,389804.537222222,1429498.47833333,1107.23,1106.79,150,160,160,0,389804.537222222,1429498.47833333,2003-06-10,2018-05-23,23.7,24.56,1082.23
