WellID,ScreenedInterval,FillResidualSoilExtent,SaproliteExtent,PWRExtent,BedrockExtent,Type,Northing,Easting,screentop,screenbot,zero
B04639,140-160,0-35,35-125,125-160,160+,Monitoring,1429539.663,389890.1662,140,160,0
B04640,147-167,0-49,49-108,108-157,157+,Monitoring,1429900.733,390300.3383,147,167,0
B04641,156-176,0-41,41-106,106-176,176+,Monitoring,1430050.505,390061.6323,156,176,0
B04642,115-135,0-23,23-107,107-127,127+,Monitoring,1430359.684,390296.5623,115,135,0
B04643,94-164,0-35,35-95,95-161,161+,Injection,1429449.639,389791.7027,94,164,0
B04644,147-187,0-30,30-150,150-183,183+,Injection,1429485.818,389771.289,147,187,0
B04645,120-170,0-37,37-120,120-174,174+,Injection,1429500.781,389884.8177,120,170,0
B04646,92-172,0-35,35-90,90-165,165+,Injection,1429559.384,389884.2913,92,172,0
B04647,105-185,0-39,39-105,105-185,185+,Injection,1429562.29,389966.3771,105,185,0
B04648,174-214,0-70,70-174,174-205,205+,Injection,1429751.562,389905.289,174,214,0
B04649,192-247,0-66,66-155,155-227,227+,Injection,1429775.173,389983.5931,192,247,0
B04650,118-163,0-77,77-120,120-157,157+,Injection,1429674.137,390115.8128,118,163,0
B04651,137-197,0-56,56-137,137-193,193+,Injection,1429815.195,389911.5831,137,197,0
B04652,152-247,0-57,57-152,152+,ND,Injection,1429891.404,389995.2557,152,247,0
B04653,130-190,0-57,57-135,135-185,185+,Injection,1429858.997,390153.1505,130,190,0
B04654,112-157,0-56,56-114,114-157,157+,Injection,1429818.094,390220.4994,112,157,0
B04655,118-153,0-35,35-123,123-150,150+,Injection,1429973.058,390033.8908,118,153,0
B04656,125-165,0-50,50-125,125-162,162+,Injection,1429996.464,390114.516,125,165,0
B04657,100-165,0-57,57-102,102-157,157+,Injection,1429908.624,390226.7532,100,165,0
B04658,85-135,0-47,47-90,90-132,132+,Injection,1429882.563,390321.6739,85,135,0
B04659,87-177,0-37,37-87,87-166,166+,Injection,1430058.227,390035.6121,87,177,0
B04660,130-160,0-43,43-137,137-157,157+,Injection,1430036.039,390125.0299,130,160,0
B04661,102-132,0-35,35-105,105-132,132+,Injection,1430037.576,390237.4179,102,132,0
B04662,80-120,0-34,34-80,80-118,118+,Injection,1429981.365,390356.8984,80,120,0
B04663,55-75,0-15,15-45,45-75,75+,Injection,1429978.189,390451.1653,55,75,0
B04664,112-152,0-47,47-107,107-147,147+,Injection,1430144.18,390107.5051,112,152,0
B04665,112-142,0-65,65-125,125-140,140+,Injection,1430112.749,390231.7265,112,142,0
B04666,95-120,0-28,28-95,95-115,115+,Injection,1430103.482,390305.0903,95,120,0
B04667,52-102,0-30,30-55,55-95,95+,Injection,1429997.131,390505.5065,52,102,0
B04668,60-105,0-37,37-87,87-103,103+,Injection,1430167.179,390396.3069,60,105,0
B04669,40-60,0-25,25-47,47-60,60+,Injection,1430222.148,390530.2112,40,60,0
B04670,50-105,0-37,37-53,53-103,103+,Injection,1430235.989,390562.9171,50,105,0
