LOCID,BEGDEPTH,ENDDEPTH,LOGDATE,ASTMCODE,HS_UNIT,VISDESC,USER_COMMENTS,lithcode
1MW12,11,16,1983-01-04T07:00:00Z,SM,UNKNOWN,BROWN MICACEOUS SILTY SAND,NA,SILTY SAND
1MW12,8,11,1983-01-04T07:00:00Z,SM,UNKNOWN,"LIGHT GRAY SILTY SAND, FIRM",NA,SILTY SAND
1MW12,22,26.5,1983-01-04T07:00:00Z,SM,UNKNOWN,BROWN MICACEOUS SILTY SAND,NA,SILTY SAND
1MW12,0.16,8,1983-01-04T07:00:00Z,SM,UNKNOWN,"REDDISH BROWN MICACEOUS SILTY SAND, SOFT TO MEDIUM",NA,SILTY SAND
1MW12,0,0.16,1983-01-04T07:00:00Z,H,UNKNOWN,TOPSOIL= DARK BROWN SILTY SAND WITH ORGANICS,NA,NA
1MW12,16,22,1983-01-04T07:00:00Z,SM,UNKNOWN,"GRAYISH BROWN MICACEOUS SILTY SAND, WATER TABLE AT 20.5' AFTER 31 DAYS",NA,SILTY SAND
6MW8,0,0.08,1983-01-03T07:00:00Z,SM,NA,"TOPSOIL CONSISTING OF BROWN SILTY SAND, SOF",NA,SILTY SAND
6MW8,9,13,1983-01-03T07:00:00Z,SM,NA,"BROWN MICACEOUS SILTY SAND, MEDIUM TO FIRM",NA,SILTY SAND
6MW8,27,45,1983-01-03T07:00:00Z,ML,NA,"LIGHT BROWN MICACEOUS SILT WITH A LITTLE FINE SAND, SOFT, WATER TABLE AT 30.5' AFTER 33 DAYS, WATER TABLE AT 34' AFTER 8 HRS.",NA,SILT
6MW8,0.08,9,1983-01-03T07:00:00Z,SM,NA,REDDISH BROWN MICACEOUS SILTY SAND,NA,SILTY SAND
6MW8,13,27,1983-01-03T07:00:00Z,ML,NA,"REDDISH BROWN MICACEOUS SILT WITH A TRACE OF FINE SAND, MEDIUM",NA,SILT
8MWT01,6,8,1995-01-13T07:00:00Z,SW,NA,"SAND, MED. TO COARSE, MICACEOUS, WEATH. FELDSPAR, BANDED, THIN LAMINATED INCL 45 DEGR, 10Y 5/1 TO 8/1, MOIST",NA,SAND
8MWT01,2,4,1995-01-13T07:00:00Z,SM,NA,"SAND, FINE TO COARSE. SILTY, MICACEOUS, 7.5YR 4/1 TO MOTTLED 7.5YR 5/8 + GLEY 8/N, MOIST LOWER 0.5 FT",NA,SILTY SAND
8MWT01,8,10,1995-01-13T07:00:00Z,SP,NA,"SAND, MED., SOME COARSE MICA FLAKES, LAMINATED, INCLINED, 7.5YR 4/2, MOIST",NA,SAND
