hole_id,collect_date,analyte,from,to,result_num,units,result_label,result,qualifier,mdl,pql
DPT10A,2020-06-23T10:57:00Z,Benzene,61.4,63.4,2700,ug/L,2700,2700,NA,5.00,25.0
DPT10A,2020-06-23T13:15:00Z,Benzene,65.2,67.2,5490,ug/L,5490,5490,NA,20.0,100
DPT10A,2020-06-23T16:38:00Z,Benzene,72.5,74.5,11600,ug/L,11600,11600,NA,20.0,100
DPT10A,2020-06-24T09:27:00Z,Benzene,77,79,9640,ug/L,9640,9640,NA,20.0,100
DPT10A,2020-06-25T10:04:00Z,Benzene,82.6,84.6,163,ug/L,163,163,NA,0.400,2.00
DPT11A,2020-06-17T11:55:00Z,Benzene,51.5,53.5,5.859999999999999,ug/L,5.86,5.86,NA,1.00,5.00
DPT11A,2020-06-17T13:50:00Z,Benzene,58.4,60.4,1220,ug/L,1220,1220,NA,10.0,50.0
DPT12A,2020-06-23T10:30:00Z,Benzene,47,49,79.8,ug/L,79.8,79.8,NA,1.00,5.00
DPT12A,2020-06-23T12:50:00Z,Benzene,52,54,23.8,ug/L,23.8,23.8,NA,1.00,5.00
DPT13A,2020-07-12T11:25:00Z,Benzene,52,54,0.8690000000000001,ug/L,0.869,0.869J,J,0.400,2.00
DPT13A,2020-07-12T15:46:00Z,Benzene,59,61,0,ug/L,ND,2.50U,U,1.00,5.00
DPT13A,2020-07-13T10:11:00Z,Benzene,64,66,0,ug/L,ND,5.00U,U,2.00,10.0
DPT13A,2020-07-13T12:44:00Z,Benzene,71,73,0,ug/L,ND,5.00U,U,2.00,10.0
DPT13A,2020-07-13T15:05:00Z,Benzene,80.2,82.2,0,ug/L,ND,25.0U,U,10.0,50.0
DPT14A,2020-07-07T13:31:00Z,Benzene,46.6,48.6,9.55,ug/L,9.55,9.55,NA,0.400,2.00
DPT14A,2020-07-06T16:30:00Z,Benzene,51.3,53.3,0,ug/L,ND,0.500U,U,0.200,1.00
DPT14A,2020-07-08T09:51:00Z,Benzene,61.9,63.9,0.20500000000000002,ug/L,0.205,0.205J,J,0.200,1.00
DPT14A,2020-07-08T17:05:00Z,Benzene,75,77,0,ug/L,ND,5.00U,U,2.00,10.0
DPT17A,2020-07-01T15:14:00Z,Benzene,52.5,54.5,0,ug/L,ND,0.500U,U,0.200,1.00
DPT17A,2020-07-01T17:01:00Z,Benzene,69.3,71.3,0,ug/L,ND,0.500U,U,0.200,1.00
DPT20A,2020-06-15T11:56:00Z,Benzene,49.7,51.7,0,ug/L,ND,0.500U,U,0.200,1.00
DPT20A,2020-06-15T16:28:00Z,Benzene,59.8,61.8,1.41,ug/L,1.41,1.41,NA,0.200,1.00
DPT20A,2020-06-16T11:08:00Z,Benzene,61.7,63.7,30.4,ug/L,30.4,30.4,NA,0.200,1.00
DPT20A,2020-06-16T13:03:00Z,Benzene,76,78,0,ug/L,ND,5.00U,U,2.00,10.0
DPT20A,2020-06-16T15:27:00Z,Benzene,82.8,84.8,0,ug/L,ND,12.5U,U,5.00,25.0
DPT20A,2020-06-16T17:16:00Z,Benzene,89,91,1.54,ug/L,1.54,1.54,NA,0.200,1.00
DPT21A,2020-06-30T12:30:00Z,Benzene,49.5,51.5,0,ug/L,ND,0.500U,U,0.200,1.00
DPT21A,2020-06-30T15:35:00Z,Benzene,61.9,63.9,0,ug/L,ND,0.500U,U,0.200,1.00
DPT21A,2020-07-01T09:16:00Z,Benzene,71.5,73.5,0,ug/L,ND,5.00U,U,2.00,10.0
DPT21A,2020-07-01T11:21:00Z,Benzene,81,83,0,ug/L,ND,50.0U,U,20.0,100
DPT23A,2020-06-26T15:23:00Z,Benzene,46.1,48.1,1.6400000000000001,ug/L,1.64,1.64J,J,0.400,2.00
DPT23A,2020-06-26T16:40:00Z,Benzene,51.1,53.1,35.6,ug/L,35.6,35.6,NA,0.200,1.00
DPT23A,2020-06-27T11:22:00Z,Benzene,57.3,59.3,55.6,ug/L,55.6,55.6,NA,2.00,10.0
DPT23A,2020-06-27T13:28:00Z,Benzene,62,64,5.18,ug/L,5.18,5.18J,J,2.00,10.0
DPT24A,2020-06-13T16:19:00Z,Benzene,49.3,51.3,915,ug/L,915,915,NA,5.00,25.0
DPT24A,2020-06-14T10:30:00Z,Benzene,54,56,742,ug/L,742,742,NA,5.00,25.0
DPT24A,2020-06-14T12:38:00Z,Benzene,59,61,2590,ug/L,2590,2590,NA,5.00,25.0
DPT25A,2020-07-10T14:48:00Z,Benzene,43.8,45.8,6.54,ug/L,6.54,6.54,NA,0.200,1.00
DPT25A,2020-07-10T16:44:00Z,Benzene,52,54,1.1900000000000002,ug/L,1.19,1.19,NA,0.200,1.00
DPT25A,2020-07-11T16:13:00Z,Benzene,59.2,61.2,383,ug/L,383,383,NA,10.0,50.0
DPT27A,2020-07-09T14:44:00Z,Benzene,41.7,43.7,0.227,ug/L,0.227,0.227J,J,0.200,1.00
DPT27A,2020-07-10T15:33:00Z,Benzene,54.7,56.7,0,ug/L,ND,25.0U,U,10.0,50.0
DPT31A,2020-05-29T09:30:00Z,Benzene,14,16,0,ug/L,ND,0.500U,U,0.200,1.00
DPT31A,2020-05-29T13:42:00Z,Benzene,22,24,0,ug/L,ND,0.500U,U,0.200,1.00
DPT31A,2020-05-30T15:44:00Z,Benzene,26.9,28.9,0,ug/L,ND,2.50U,U,1.00,5.00
DPT31A,2020-05-30T09:30:00Z,Benzene,28.9,30.9,0,ug/L,ND,0.500U,U,0.200,1.00
DPT31A,2020-05-30T11:03:00Z,Benzene,34,36,0,ug/L,ND,1.00U,U,0.400,2.00
DPT32A,2020-06-04T08:35:00Z,Benzene,11.5,13.5,0,ug/L,ND,0.500U,U,0.200,1.00
DPT32A,2020-06-04T10:26:00Z,Benzene,18.9,20.9,0,ug/L,ND,25.0U,U,10.0,50.0
DPT32A,2020-06-04T13:58:00Z,Benzene,31.5,33.5,0,ug/L,ND,50.0U,U,20.0,100
DPT32A,2020-06-04T16:15:00Z,Benzene,39,41,0,ug/L,ND,50.0U,U,20.0,100
DPT32A,2020-06-04T17:05:00Z,Benzene,46,48,0,ug/L,ND,50.0U,U,20.0,100
DPT33A,2020-06-02T12:10:00Z,Benzene,11,13,0,ug/L,ND,0.500U,U,0.200,1.00
DPT33A,2020-06-02T13:53:00Z,Benzene,17,19,0,ug/L,ND,0.500U,U,0.200,1.00
DPT33A,2020-06-03T08:33:00Z,Benzene,24,26,0,ug/L,ND,5.00U,U,2.00,10.0
DPT33A,2020-06-03T12:28:00Z,Benzene,31,33,0,ug/L,ND,12.5U,U,5.00,25.0
DPT33A,2020-06-03T16:05:00Z,Benzene,35.5,37.5,0,ug/L,ND,50.0U,U,20.0,100
DPT34A,2020-06-03T16:34:00Z,Benzene,10,12,0,ug/L,ND,0.500U,U,0.200,1.00
DPT34A,2020-06-04T08:56:00Z,Benzene,18.8,20.8,0,ug/L,ND,2.50U,U,1.00,5.00
DPT34A,2020-06-04T11:42:00Z,Benzene,27,29,0,ug/L,ND,1.00U,U,0.400,2.00
DPT34A,2020-06-04T14:41:00Z,Benzene,34,36,0,ug/L,ND,2.50U,U,1.00,5.00
DPT34A,2020-06-04T15:57:00Z,Benzene,39.3,41.3,0,ug/L,ND,2.50U,U,1.00,5.00
DPT34A,2020-06-04T17:01:00Z,Benzene,43,45,0,ug/L,ND,2.50U,U,1.00,5.00
DPT35A,2020-06-08T12:53:00Z,Benzene,14,16,0,ug/L,ND,0.500U,U,0.200,1.00
DPT35A,2020-06-08T17:05:00Z,Benzene,26,28,0,ug/L,ND,0.500U,U,0.200,1.00
DPT35A,2020-06-09T09:58:00Z,Benzene,38,40,0,ug/L,ND,1.00U,U,0.400,2.00
DPT35A,2020-06-09T14:01:00Z,Benzene,53,55,0,ug/L,ND,2.50U,U,1.00,5.00
DPT35A,2020-06-09T16:23:00Z,Benzene,58.5,60.5,0,ug/L,ND,1.00U,U,0.400,2.00
DPT36A,2020-06-03T09:11:00Z,Benzene,11,13,0,ug/L,ND,0.500U,U,0.200,1.00
DPT36A,2020-06-03T12:14:00Z,Benzene,23,25,0,ug/L,ND,50.0U,U,20.0,100
DPT37A,2020-06-01T11:09:00Z,Benzene,11.1,13.1,0,ug/L,ND,0.500U,U,0.200,1.00
DPT37A,2020-06-01T13:31:00Z,Benzene,17.1,19.1,0,ug/L,ND,0.500U,U,0.200,1.00
DPT37A,2020-06-02T12:08:00Z,Benzene,31.200000000000003,33.2,0,ug/L,ND,1.00U,U,0.400,2.00
DPT37A,2020-06-02T13:16:00Z,Benzene,37.5,39.5,0,ug/L,ND,12.5U,U,5.00,25.0
DPT38A,2020-06-10T11:22:00Z,Benzene,20.7,22.7,0,ug/L,ND,1.00U,U,0.400,2.00
DPT38A,2020-06-10T13:39:00Z,Benzene,27.3,29.3,0,ug/L,ND,25.0U,U,10.0,50.0
DPT38A,2020-06-11T10:56:00Z,Benzene,34.9,36.9,0,ug/L,ND,25.0U,U,10.0,50.0
DPT38A,2020-06-11T10:21:00Z,Benzene,44,46,0,ug/L,ND,12.5U,U,5.00,25.0
DPT39A,2020-06-10T11:08:00Z,Benzene,12,14,0,ug/L,ND,0.500U,U,0.200,1.00
DPT39A,2020-06-10T12:27:00Z,Benzene,19.1,21.1,0,ug/L,ND,0.500U,U,0.200,1.00
DPT39A,2020-06-10T14:15:00Z,Benzene,28,30,0,ug/L,ND,50.0U,U,20.0,100
DPT39A,2020-06-10T15:59:00Z,Benzene,34,36,0,ug/L,ND,25.0U,U,10.0,50.0
DPT39A,2020-06-11T08:33:00Z,Benzene,39,41,0,ug/L,ND,25.0U,U,10.0,50.0
DPT39A,2020-06-11T13:27:00Z,Benzene,49.5,51.5,0,ug/L,ND,12.5U,U,5.00,25.0
DPT04A,2020-06-28T14:30:00Z,Benzene,54,56,0.739,ug/L,0.739,0.739J,J,0.200,1.00
DPT04A,2020-06-28T16:41:00Z,Benzene,86.6,88.6,0,ug/L,ND,0.500U,U,0.200,1.00
DPT04A,2020-06-29T09:15:00Z,Benzene,92,94,0.28200000000000003,ug/L,0.282,0.282J,J,0.200,1.00
DPT40A,2020-06-01T10:42:00Z,Benzene,10,12,0,ug/L,ND,0.500U,U,0.200,1.00
DPT40A,2020-06-01T11:59:00Z,Benzene,17,19,0,ug/L,ND,0.500U,U,0.200,1.00
DPT40A,2020-06-01T14:34:00Z,Benzene,24,26,0,ug/L,ND,0.500U,U,0.200,1.00
DPT40A,2020-06-02T09:54:00Z,Benzene,26.5,28.5,0,ug/L,ND,0.500U,U,0.200,1.00
DPT41A,2020-05-30T12:15:00Z,Benzene,14,16,0,ug/L,ND,0.500U,U,0.200,1.00
DPT41A,2020-05-30T13:31:00Z,Benzene,20,22,0,ug/L,ND,0.500U,U,0.200,1.00
DPT41A,2020-05-31T10:17:00Z,Benzene,30,32,0,ug/L,ND,2.50U,U,1.00,5.00
DPT42A,2020-05-28T11:10:00Z,Benzene,18.5,20.5,0,ug/L,ND,0.500U,U,0.200,1.00
DPT42A,2020-05-28T13:30:00Z,Benzene,25.3,27.3,0,ug/L,ND,0.500U,U,0.200,1.00
DPT42A,2020-06-09T16:33:00Z,Benzene,45,47,0,ug/L,ND,0.500U,U,0.200,1.00
DPT43A,2020-05-30T15:04:00Z,Benzene,22.4,24.4,0,ug/L,ND,0.500U,U,0.200,1.00
DPT43A,2020-05-31T09:01:00Z,Benzene,25.8,27.8,0,ug/L,ND,0.500U,U,0.200,1.00
DPT44A,2020-05-28T16:12:00Z,Benzene,15.7,17.7,0,ug/L,ND,0.500U,U,0.200,1.00
DPT44A,2020-05-29T12:57:00Z,Benzene,30.1,32.1,0,ug/L,ND,0.500U,U,0.200,1.00
DPT44A,2020-05-29T15:02:00Z,Benzene,34,36,0,ug/L,ND,0.500U,U,0.200,1.00
DPT45A,2020-05-28T09:58:00Z,Benzene,13,15,0,ug/L,ND,12.5U,U,5.00,25.0
DPT45A,2020-05-28T12:50:00Z,Benzene,20,22,0,ug/L,ND,50.0U,U,20.0,100
DPT45A,2020-05-28T15:13:00Z,Benzene,29,31,0,ug/L,ND,25.0U,U,10.0,50.0
DPT46A,2020-06-26T10:29:00Z,Benzene,46.5,48.5,99,ug/L,99,99.0,NA,2.00,10.0
DPT46A,2020-06-26T12:26:00Z,Benzene,54.5,56.5,1410,ug/L,1410,1410,NA,2.00,10.0
DPT46A,2020-06-26T16:37:00Z,Benzene,64.5,66.5,5.28,ug/L,5.28,5.28J,J,2.00,10.0
DPT46A,2020-06-27T09:58:00Z,Benzene,69,71,3.59,ug/L,3.59,3.59J,J,1.00,5.00
DPT05A,2020-06-28T16:09:00Z,Benzene,47,49,1.85,ug/L,1.85,1.85,NA,0.200,1.00
DPT05A,2020-06-29T10:29:00Z,Benzene,52.7,54.7,2.15,ug/L,2.15,2.15,NA,0.200,1.00
DPT05A,2020-06-29T13:35:00Z,Benzene,57.6,59.6,1.01,ug/L,1.01,1.01,NA,0.200,1.00
DPT05A,2020-06-29T16:06:00Z,Benzene,65.1,67.1,0.807,ug/L,0.807,0.807J,J,0.200,1.00
DPT05A,2020-06-29T18:01:00Z,Benzene,72.9,74.9,0.452,ug/L,0.452,0.452J,J,0.200,1.00
DPT05A,2020-06-30T10:11:00Z,Benzene,82.5,84.5,0,ug/L,ND,12.5U,U,5.00,25.0
DPT08A,2020-07-06T14:09:00Z,Benzene,57.5,59.5,6.73,ug/L,6.73,6.73,NA,0.400,2.00
DPT08A,2020-07-07T11:09:00Z,Benzene,61.8,63.8,38.7,ug/L,38.7,38.7,NA,0.400,2.00
DPT08A,2020-07-07T14:11:00Z,Benzene,69.5,71.5,163,ug/L,163,163,NA,0.400,2.00
DPT08A,2020-07-06T15:59:00Z,Benzene,74,76,272,ug/L,272,272,NA,2.00,10.0
DPT09A,2020-07-14T10:01:00Z,Benzene,49.5,51.5,4170,ug/L,4170,4170,NA,10.0,50.0
DPT09A,2020-07-14T15:00:00Z,Benzene,81.7,83.7,2650,ug/L,2650,2650,NA,5.00,25.0
