hole_id,collect_date,analyte,from,to,result_num,units,result,qualifier,rdl
DPT20A,2020-06-15T11:56:00Z,Chromium VI (Dissolved),50.2,51.2,0,ug/L,<8,U,8
DPT20A,2020-06-15T16:28:00Z,Chromium VI (Dissolved),60.3,61.3,0,ug/L,<8,U,8
DPT24A,2020-06-13T16:19:00Z,Chromium VI (Dissolved),49.8,50.8,0,ug/L,<8,U,8
DPT24A,2020-06-14T10:30:00Z,Chromium VI (Dissolved),54.5,55.5,0,ug/L,<8,U,8
DPT24A,2020-06-14T12:38:00Z,Chromium VI (Dissolved),59.5,60.5,0,ug/L,<8,U,8
DPT20A,2020-06-16T11:08:00Z,Chromium VI (Dissolved),67.2,68.2,0,ug/L,<8,U,8
DPT20A,2020-06-16T13:03:00Z,Chromium VI (Dissolved),76.5,77.5,0,ug/L,<8,U,8
DPT20A,2020-06-16T15:27:00Z,Chromium VI (Dissolved),83.3,84.3,0,ug/L,<8,U,8
DPT11A,2020-06-17T11:55:00Z,Chromium VI (Dissolved),52,53,0,ug/L,<8,U,8
DPT11A,2020-06-17T13:50:00Z,Chromium VI (Dissolved),58.9,59.9,0,ug/L,<8,U,8
