hole_id,collect_date,analyte,from,to,result_num,units,result_label,result,qualifier,mdl,pql
DPT10A,2020-06-23T10:57:00Z,Trichloroethene,61.4,63.4,223,ug/L,223,223,NA,5.00,25.0
DPT10A,2020-06-23T13:15:00Z,Trichloroethene,65.2,67.2,325,ug/L,325,325,NA,20.0,100
DPT10A,2020-06-23T16:38:00Z,Trichloroethene,72.5,74.5,502,ug/L,502,502,NA,20.0,100
DPT10A,2020-06-24T09:27:00Z,Trichloroethene,77,79,235,ug/L,235,235,NA,20.0,100
DPT10A,2020-06-25T10:04:00Z,Trichloroethene,82.6,84.6,0,ug/L,ND,1.00U,U,0.400,2.00
DPT11A,2020-06-17T11:55:00Z,Trichloroethene,51.5,53.5,40.1,ug/L,40.1,40.1,NA,1.00,5.00
DPT11A,2020-06-17T13:50:00Z,Trichloroethene,58.4,60.4,31.8,ug/L,31.8,31.8J,J,10.0,50.0
DPT12A,2020-06-23T10:30:00Z,Trichloroethene,47,49,73.4,ug/L,73.4,73.4,NA,1.00,5.00
DPT12A,2020-06-23T12:50:00Z,Trichloroethene,52,54,25.1,ug/L,25.1,25.1,NA,1.00,5.00
DPT13A,2020-07-12T11:25:00Z,Trichloroethene,52,54,139,ug/L,139,139,NA,0.400,2.00
DPT13A,2020-07-12T15:46:00Z,Trichloroethene,59,61,396,ug/L,396,396,NA,1.00,5.00
DPT13A,2020-07-13T10:11:00Z,Trichloroethene,64,66,1370,ug/L,1370,1370,NA,2.00,10.0
DPT13A,2020-07-13T12:44:00Z,Trichloroethene,71,73,1440,ug/L,1440,1440,NA,2.00,10.0
DPT13A,2020-07-13T15:05:00Z,Trichloroethene,80.2,82.2,7480,ug/L,7480,7480,NA,10.0,50.0
DPT14A,2020-07-07T13:31:00Z,Trichloroethene,46.6,48.6,202,ug/L,202,202,NA,0.400,2.00
DPT14A,2020-07-06T16:30:00Z,Trichloroethene,51.3,53.3,93,ug/L,93,93.0,NA,0.200,1.00
DPT14A,2020-07-08T09:51:00Z,Trichloroethene,61.9,63.9,94.9,ug/L,94.9,94.9,NA,0.200,1.00
DPT14A,2020-07-08T17:05:00Z,Trichloroethene,75,77,849,ug/L,849,849,NA,2.00,10.0
DPT17A,2020-07-01T15:14:00Z,Trichloroethene,52.5,54.5,3.98,ug/L,3.98,3.98,NA,0.200,1.00
DPT17A,2020-07-01T17:01:00Z,Trichloroethene,69.3,71.3,31.9,ug/L,31.9,31.9,NA,0.200,1.00
DPT20A,2020-06-15T11:56:00Z,Trichloroethene,49.7,51.7,1.49,ug/L,1.49,1.49,NA,0.200,1.00
DPT20A,2020-06-15T16:28:00Z,Trichloroethene,59.8,61.8,6.38,ug/L,6.38,6.38,NA,0.200,1.00
DPT20A,2020-06-16T11:08:00Z,Trichloroethene,61.7,63.7,10.9,ug/L,10.9,10.9,NA,0.200,1.00
