hole_id,collect_date,analyte,from,to,result_num,units,result_label,result,qualifier,mdl,pql
DPT10A,2020-06-23T10:57:00Z,"cis-1,2-Dichloroethene",60.4,62.4,3500,ug/L,3500,3500,NA,5.00,25.0
DPT10A,2020-06-23T13:15:00Z,"cis-1,2-Dichloroethene",64.2,66.2,7300,ug/L,7300,7300,NA,20.0,100
DPT10A,2020-06-23T16:38:00Z,"cis-1,2-Dichloroethene",71.5,73.5,12100,ug/L,12100,12100,NA,20.0,100
DPT10A,2020-06-24T09:27:00Z,"cis-1,2-Dichloroethene",76,78,4960,ug/L,4960,4960,NA,20.0,100
DPT10A,2020-06-25T10:04:00Z,"cis-1,2-Dichloroethene",81.6,83.6,11.5,ug/L,11.5,11.5,NA,0.400,2.00
DPT11A,2020-06-17T11:55:00Z,"cis-1,2-Dichloroethene",50.5,52.5,256,ug/L,256,256,NA,1.00,5.00
DPT11A,2020-06-17T13:50:00Z,"cis-1,2-Dichloroethene",57.4,59.4,8820,ug/L,8820,8820,NA,10.0,50.0
DPT12A,2020-06-23T10:30:00Z,"cis-1,2-Dichloroethene",46,48,697,ug/L,697,697,NA,1.00,5.00
DPT12A,2020-06-23T12:50:00Z,"cis-1,2-Dichloroethene",51,53,687,ug/L,687,687,NA,1.00,5.00
DPT13A,2020-07-12T11:25:00Z,"cis-1,2-Dichloroethene",51,53,3.96,ug/L,3.96,3.96,NA,0.400,2.00
DPT13A,2020-07-12T15:46:00Z,"cis-1,2-Dichloroethene",58,60,13.2,ug/L,13.2,13.2,NA,1.00,5.00
DPT13A,2020-07-13T10:11:00Z,"cis-1,2-Dichloroethene",63,65,16.1,ug/L,16.1,16.1,NA,2.00,10.0
DPT13A,2020-07-13T12:44:00Z,"cis-1,2-Dichloroethene",70,72,7.37,ug/L,7.37,7.37J,J,2.00,10.0
DPT13A,2020-07-13T15:05:00Z,"cis-1,2-Dichloroethene",79.2,81.2,19.1,ug/L,19.1,19.1J,J,10.0,50.0
DPT14A,2020-07-07T13:31:00Z,"cis-1,2-Dichloroethene",45.6,47.6,45,ug/L,45,45.0,NA,0.400,2.00
DPT14A,2020-07-06T16:30:00Z,"cis-1,2-Dichloroethene",50.3,52.3,4.33,ug/L,4.33,4.33,NA,0.200,1.00
DPT14A,2020-07-08T09:51:00Z,"cis-1,2-Dichloroethene",60.9,62.9,10.2,ug/L,10.2,10.2,NA,0.200,1.00
DPT14A,2020-07-08T17:05:00Z,"cis-1,2-Dichloroethene",74,76,4.359999999999999,ug/L,4.36,4.36J,J,2.00,10.0
DPT17A,2020-07-01T15:14:00Z,"cis-1,2-Dichloroethene",51.5,53.5,1.04,ug/L,1.04,1.04,NA,0.200,1.00
DPT17A,2020-07-01T17:01:00Z,"cis-1,2-Dichloroethene",68.3,70.3,5.359999999999999,ug/L,5.36,5.36,NA,0.200,1.00
DPT20A,2020-06-15T11:56:00Z,"cis-1,2-Dichloroethene",48.7,50.7,0,ug/L,ND,0.500U,U,0.200,1.00
DPT20A,2020-06-15T16:28:00Z,"cis-1,2-Dichloroethene",58.8,60.8,1.9,ug/L,1.9,1.90,NA,0.200,1.00
DPT20A,2020-06-16T11:08:00Z,"cis-1,2-Dichloroethene",60.7,62.7,1.04,ug/L,1.04,1.04,NA,0.200,1.00
DPT20A,2020-06-16T13:03:00Z,"cis-1,2-Dichloroethene",75,77,120,ug/L,120,120,NA,2.00,10.0
DPT20A,2020-06-16T15:27:00Z,"cis-1,2-Dichloroethene",81.8,83.8,141,ug/L,141,141,NA,5.00,25.0
DPT20A,2020-06-16T17:16:00Z,"cis-1,2-Dichloroethene",88,90,0,ug/L,ND,0.500U,U,0.200,1.00
DPT21A,2020-06-30T12:30:00Z,"cis-1,2-Dichloroethene",48.5,50.5,0.562,ug/L,0.562,0.562J,J,0.200,1.00
DPT21A,2020-06-30T15:35:00Z,"cis-1,2-Dichloroethene",60.9,62.9,10.1,ug/L,10.1,10.1,NA,0.200,1.00
DPT21A,2020-07-01T09:16:00Z,"cis-1,2-Dichloroethene",70.5,72.5,61.9,ug/L,61.9,61.9,NA,2.00,10.0
DPT21A,2020-07-01T11:21:00Z,"cis-1,2-Dichloroethene",80,82,144,ug/L,144,144,NA,20.0,100
DPT23A,2020-06-26T15:23:00Z,"cis-1,2-Dichloroethene",45.1,47.1,1.61,ug/L,1.61,1.61J,J,0.400,2.00
DPT23A,2020-06-26T16:40:00Z,"cis-1,2-Dichloroethene",50.1,52.1,2.65,ug/L,2.65,2.65,NA,0.200,1.00
DPT23A,2020-06-27T11:22:00Z,"cis-1,2-Dichloroethene",56.3,58.3,104,ug/L,104,104,NA,2.00,10.0
DPT23A,2020-06-27T13:28:00Z,"cis-1,2-Dichloroethene",61,63,98.7,ug/L,98.7,98.7,NA,2.00,10.0
DPT24A,2020-06-13T16:19:00Z,"cis-1,2-Dichloroethene",48.3,50.3,1350,ug/L,1350,1350,NA,5.00,25.0
DPT24A,2020-06-14T10:30:00Z,"cis-1,2-Dichloroethene",53,55,115,ug/L,115,115,NA,5.00,25.0
DPT24A,2020-06-14T12:38:00Z,"cis-1,2-Dichloroethene",58,60,2580,ug/L,2580,2580,NA,5.00,25.0
DPT25A,2020-07-10T14:48:00Z,"cis-1,2-Dichloroethene",42.8,44.8,18.1,ug/L,18.1,18.1,NA,0.200,1.00
DPT25A,2020-07-10T16:44:00Z,"cis-1,2-Dichloroethene",51,53,2.4,ug/L,2.4,2.40,NA,0.200,1.00
DPT25A,2020-07-11T16:13:00Z,"cis-1,2-Dichloroethene",58.2,60.2,635,ug/L,635,635,NA,10.0,50.0
DPT27A,2020-07-09T14:44:00Z,"cis-1,2-Dichloroethene",40.7,42.7,15,ug/L,15,15.0,NA,0.200,1.00
DPT27A,2020-07-10T15:33:00Z,"cis-1,2-Dichloroethene",53.7,55.7,279,ug/L,279,279,NA,10.0,50.0
DPT31A,2020-05-29T09:30:00Z,"cis-1,2-Dichloroethene",13,15,1.58,ug/L,1.58,1.58,NA,0.200,1.00
DPT31A,2020-05-29T13:42:00Z,"cis-1,2-Dichloroethene",21,23,1.1800000000000002,ug/L,1.18,1.18,NA,0.200,1.00
DPT31A,2020-05-30T15:44:00Z,"cis-1,2-Dichloroethene",25.9,27.9,21.8,ug/L,21.8,21.8,NA,1.00,5.00
