hole_id,analyte,max.detect,depth,units,ECOORD,NCOORD,ELEV,z_on_topography,maxdepth
DPT04A,Benzene,0.739,55,ug/L,390059.283881136,1430024.4588745,1099.79,1102.657195,93
DPT04A,Chromium VI,0,"c(55, 87.6, 93)",ug/L,390059.283881136,1430024.4588745,1099.79,1102.657195,93
DPT04A,"cis-1,2-Dichloroethene",2.54,55,ug/L,390059.283881136,1430024.4588745,1099.79,1102.657195,93
DPT04A,Trichloroethene,7.67,55,ug/L,390059.283881136,1430024.4588745,1099.79,1102.657195,93
DPT04A,Vinyl chloride,0,"c(55, 87.6, 93)",ug/L,390059.283881136,1430024.4588745,1099.79,1102.657195,93
DPT05A,Benzene,2.15,53.7,ug/L,390081.972393569,1430010.88726546,1102.194,1102.89545,88
DPT05A,Chromium VI,0,"c(48, 53.7, 58.6, 66.1, 73.9, 83.5)",ug/L,390081.972393569,1430010.88726546,1102.194,1102.89545,88
DPT05A,"cis-1,2-Dichloroethene",912,83.5,ug/L,390081.972393569,1430010.88726546,1102.194,1102.89545,88
DPT05A,Trichloroethene,3730,83.5,ug/L,390081.972393569,1430010.88726546,1102.194,1102.89545,88
DPT05A,Vinyl chloride,0,"c(48, 53.7, 58.6, 66.1, 73.9, 83.5)",ug/L,390081.972393569,1430010.88726546,1102.194,1102.89545,88
DPT08A,Benzene,272,75,ug/L,390197.820014656,1429916.22700012,1102.728,1106.501986,75
DPT08A,Chromium VI,0,"c(58.5, 62.8, 70.5)",ug/L,390197.820014656,1429916.22700012,1102.728,1106.501986,75
DPT08A,"cis-1,2-Dichloroethene",266,58.5,ug/L,390197.820014656,1429916.22700012,1102.728,1106.501986,75
DPT08A,Trichloroethene,621,75,ug/L,390197.820014656,1429916.22700012,1102.728,1106.501986,75
DPT08A,Vinyl chloride,4.64,58.5,ug/L,390197.820014656,1429916.22700012,1102.728,1106.501986,75
DPT09A,Benzene,4170,50.5,ug/L,390196.16298016,1429901.12644003,1106.057,1107.332758,84
DPT09A,Chromium VI,0,"c(50.5, 82.7)",ug/L,390196.16298016,1429901.12644003,1106.057,1107.332758,84
DPT09A,"cis-1,2-Dichloroethene",141,50.5,ug/L,390196.16298016,1429901.12644003,1106.057,1107.332758,84
DPT09A,Trichloroethene,5510,50.5,ug/L,390196.16298016,1429901.12644003,1106.057,1107.332758,84
DPT09A,Vinyl chloride,15.1,50.5,ug/L,390196.16298016,1429901.12644003,1106.057,1107.332758,84
DPT10A,Benzene,11600,73.5,ug/L,390224.406616416,1429893.20666546,1102.509,1107.419616,86
DPT10A,Chromium VI,0,"c(66.2, 73.5, 78, 83.6)",ug/L,390224.406616416,1429893.20666546,1102.509,1107.419616,86
DPT10A,"cis-1,2-Dichloroethene",12100,73.5,ug/L,390224.406616416,1429893.20666546,1102.509,1107.419616,86
DPT10A,Trichloroethene,502,73.5,ug/L,390224.406616416,1429893.20666546,1102.509,1107.419616,86
DPT10A,Vinyl chloride,77,73.5,ug/L,390224.406616416,1429893.20666546,1102.509,1107.419616,86
DPT11A,Benzene,1220,59.4,ug/L,390240.339978072,1429873.80622734,1105.935,1107.928441,71
DPT11A,Chromium VI,0,"c(52.5, 59.4)",ug/L,390240.339978072,1429873.80622734,1105.935,1107.928441,71
DPT11A,"cis-1,2-Dichloroethene",8820,59.4,ug/L,390240.339978072,1429873.80622734,1105.935,1107.928441,71
DPT11A,Trichloroethene,40.1,52.5,ug/L,390240.339978072,1429873.80622734,1105.935,1107.928441,71
