ID_Name,Easting,Northing,Elevation,X,Y
DPT03A,2186623.688,1430092.426,1101.537,390034.41705151397,1430047.86813
DPT03M,2186619.891,1430094.994,1101.924,390030.6200515137,1430050.43613
DPT02M,2186607.314,1430102.456,1103.078,390018.04305151367,1430057.89813
DPT02A,2186603.554,1430105.226,1103.326,390014.2830515139,1430060.66813
DPT05A,2186667.776,1430057.488,1101.769,390078.50505151396,1430012.93013
DPT05M,2186660.453,1430059.848,1101.455,390071.1820515141,1430015.29013
DPT04M,2186645.088,1430071.06,1100.906,390055.8170515139,1430026.50213
DPT08M,2186780.333,1429959.297,1107.263,390191.062051514,1429914.73913
DPT08A,2186783.621,1429962.825,1107.164,390194.3500515137,1429918.26713
DPT09A,2186781.964,1429947.724,1107.539,390192.69305151404,1429903.16613
DPT09M,2186795.095,1429946.639,1107.752,390205.8240515141,1429902.08113
DPT10A,2186810.207,1429939.804,1107.818,390220.9360515138,1429895.24613
DPT10M,2186806.519,1429936.877,1108.037,390217.24805151374,1429892.31913
DPT11M,2186822.039,1429918.148,1108.226,390232.76805151376,1429873.59013
DPT11A,2186826.14,1429920.403,1107.991,390236.869051514,1429875.84513
DPT12A,2186846.057,1429905.869,1107.737,390256.7860515139,1429861.31113
DPT12M,2186848.768,1429907.571,1107.688,390259.49705151404,1429863.01313
DPT13A,2186865.091,1429891.868,1107.723,390275.8200515139,1429847.31013
DPT13M,2186862.383,1429889.351,1107.701,390273.1120515138,1429844.79313
DPT14M,2186883.241,1429875.322,1107.317,390293.9700515138,1429830.76413
DPT14A,2186882.229,1429871.631,1107.178,390292.9580515137,1429827.07313
DPT30A,2187115.216,1430018.065,1093.02,390525.9450515139,1429973.50713
DPT30M,2187111.109,1430019.373,1093.016,390521.83805151406,1429974.81513
DPT29M,2187082.245,1430029.318,1093.29,390492.974051514,1429984.76013
DPT29A,2187077.815,1430030.753,1093.349,390488.54405151383,1429986.19513
DPT28M,2187064.916,1430034.999,1093.471,390475.6450515141,1429990.44113
DPT28A,2187058.408,1430035.717,1093.591,390469.1370515137,1429991.15913
DPT27A,2187037.741,1430043.915,1093.624,390448.4700515138,1429999.35713
DPT27M,2187032.227,1430045.014,1093.704,390442.95605151384,1430000.45613
DPT26M,2187018.062,1430050.112,1093.91,390428.7910515138,1430005.55413
DPT26A,2187013.866,1430051.307,1093.992,390424.5950515138,1430006.74913
DPT25M,2186976.463,1430060.069,1094.483,390387.1920515139,1430015.51113
DPT25A,2186976.636,1430047.118,1094.68,390387.3650515138,1430002.56013
DPT24A,2186959.614,1430063.649,1094.621,390370.34305151395,1430019.09113
DPT24M,2186955.648,1430064.352,1094.706,390366.37705151393,1430019.79413
