Point_No_,Northing,Easting,Elevation,Descriptio,ID_Name,Checked_if,Reason,coords.x1,coords.x2
0,0,0,0,NA,NA,Approximate,NA,-17976931348623157e292,-17976931348623157e292
7201,1430092.426,2186623.688,1101.537,BH-3A,DPT3A,NA,NA,390034.41705151397,1430047.868130805
7202,1430094.994,2186619.891,1101.924,BH-3M,DPT3M,NA,NA,390030.6200515137,1430050.436130805
7203,1430102.456,2186607.314,1103.078,BH-2M,DPT2M,NA,NA,390018.04305151367,1430057.898130805
7204,1430105.226,2186603.554,1103.326,BH-2A,DPT2A,NA,NA,390014.2830515139,1430060.668130805
7205,1430057.488,2186667.776,1101.769,BH-5A,DPT5A,NA,NA,390078.50505151396,1430012.930130805
7206,1430059.848,2186660.453,1101.455,BH-5M,DPT5M,NA,Mark Not found,390071.1820515141,1430015.290130805
7207,1430071.06,2186645.088,1100.906,BH-4,DPT4,NA,New Pavement (location for A & M),390055.8170515139,1430026.502130805
7208,1429959.297,2186780.333,1107.263,BH-8M,DPT8M,NA,NA,390191.062051514,1429914.739130805
7209,1429962.825,2186783.621,1107.164,BH-8A,DPT8A,NA,NA,390194.3500515137,1429918.267130805
7210,1429947.724,2186781.964,1107.539,BH-9A,DPT9A,NA,NA,390192.69305151404,1429903.166130805
7211,1429941.036,2186778.935,1107.952,BH-9,DPT9,NA,NA,390189.66405151394,1429896.478130805
7212,1429946.639,2186795.095,1107.752,BH-9M,DPT9M,NA,NA,390205.8240515141,1429902.081130805
7213,1429950.615,2186798.683,1107.565,BH-?,DPT?,NA,Unknown Boring,390209.4120515141,1429906.057130805
7214,1429939.804,2186810.207,1107.818,BH-10A,DPT10A,NA,NA,390220.9360515138,1429895.246130805
7215,1429936.877,2186806.519,1108.037,BH-10M,DPT10M,NA,NA,390217.24805151374,1429892.319130805
7216,1429918.148,2186822.039,1108.226,BH-11M,DPT11M,NA,NA,390232.76805151376,1429873.590130805
7217,1429920.403,2186826.14,1107.991,BH-11A,DPT11A,NA,NA,390236.869051514,1429875.845130805
7218,1429905.869,2186846.057,1107.737,BH-12,DPT12,NA,Unable to determine A or M,390256.7860515139,1429861.311130805
7219,1429907.571,2186848.768,1107.688,BH-12,DPT12,NA,Unable to determine A or M,390259.49705151404,1429863.013130805
7220,1429891.868,2186865.091,1107.723,BH-13,DPT13,NA,Unable to determine A or M,390275.8200515139,1429847.310130805
