Point No.,Northing,Easting,Elevation,Description,ID_Name,Checked if Approximate,Reason,,,
7201,1430092.426,2186623.688,1101.537,BH-3A,DPT03A,,,,,
7202,1430094.994,2186619.891,1101.924,BH-3M,DPT03M,,,,,
7203,1430102.456,2186607.314,1103.078,BH-2M,DPT02M,,,,,
7204,1430105.226,2186603.554,1103.326,BH-2A,DPT02A,,,,,
7205,1430057.488,2186667.776,1101.769,BH-5A,DPT05A,,,,,
7206,1430059.848,2186660.453,1101.455,BH-5M,DPT05M,,Mark Not found,,,
7207,1430071.06,2186645.088,1100.906,BH-4,DPT04M,,New Pavement (location for A & M),,,
7208,1429959.297,2186780.333,1107.263,BH-8M,DPT08M,,,,,
7209,1429962.825,2186783.621,1107.164,BH-8A,DPT08A,,,,,
7210,1429947.724,2186781.964,1107.539,BH-9A,DPT09A,,,,,
7212,1429946.639,2186795.095,1107.752,BH-9M,DPT09M,,,,,
7214,1429939.804,2186810.207,1107.818,BH-10A,DPT10A,,,,,
7215,1429936.877,2186806.519,1108.037,BH-10M,DPT10M,,,,,
7216,1429918.148,2186822.039,1108.226,BH-11M,DPT11M,,,,,
7217,1429920.403,2186826.14,1107.991,BH-11A,DPT11A,,,,,
7218,1429905.869,2186846.057,1107.737,BH-12,DPT12A,,Unable to determine A or M,,,
7219,1429907.571,2186848.768,1107.688,BH-12,DPT12M,,Unable to determine A or M,,,
7220,1429891.868,2186865.091,1107.723,BH-13,DPT13A,,Unable to determine A or M,,,
7221,1429889.351,2186862.383,1107.701,BH-13,DPT13M,,Unable to determine A or M,,,
7222,1429875.322,2186883.241,1107.317,BH-14M,DPT14M,,,,,
7223,1429871.631,2186882.229,1107.178,BH-14A,DPT14A,,,,,
7224,1429944.925,2186779.192,1107.775,MW-BR/09,BR09,,,,,
7224,1429944.925,2186779.192,1107.756,,BR09,,PVC PIPE,,,
7224,1429944.925,2186779.192,1107.679,,BR09,,Pavement Elevation,,,
