locs_complete$ECOORD,locs_complete$NCOORD,locs_complete@coords
0,0,-17976931348623157e292
392474.06,1428427.5,392493.1572222222
388098,1424537,388117.0972222222
389103.19,1427829.41,389122.2872222222
390165,1431245,390184.0972222222
390271,1431230,390290.0972222222
390505,1431241,390524.0972222222
390271.02,1431230.02,390290.1172222222
390306,1431256,390325.0972222222
390450,1431301,390469.0972222222
390416,1431273,390435.0972222222
390400,1431179,390419.0972222222
390481,1431159,390500.0972222222
390518,1431151,390537.0972222222
390552,1431146,390571.0972222222
390606,1431186,390625.0972222222
390374,1431155,390393.0972222222
390085,1431160,390104.0972222222
390170,1431141,390189.0972222222
390372,1431100,390391.0972222222
390462,1431109,390481.0972222222
390520,1431082,390539.0972222222
390287,1431094,390306.0972222222
390352,1431050,390371.0972222222
390426,1431056,390445.0972222222
390506,1431040,390525.0972222222
390550,1431014,390569.0972222222
390290,1430695,390309.0972222222
390632.32,1431155.75,390651.4172222222
390536.83,1431251,390555.9272222222
390459.73,1431132.59,390478.8272222222
390062.79,1424215.55,390081.88722222217
390138.89,1424203.26,390157.9872222222
390205.72,1424195.87,390224.81722222216
390272.38,1424195.17,390291.4772222222
390339.83,1424193.75,390358.9272222222
390406.59,1424192.35,390425.6872222222
390474.51,1424189.64,390493.6072222222
390468.94,1424210.95,390488.0372222222
390459.81,1424245.01,390478.9072222222
390282.25,1424083.29,390301.3472222222
390275.77,1424064.67,390294.8672222222
390251.46,1424079.65,390270.5572222222
390158.79,1424113.16,390177.88722222217
390105.27,1424114.73,390124.3672222222
390055.78,1424116.25,390074.8772222222
390271.61,1424152.64,390290.7072222222
390197.15,1424248.58,390216.2472222222
390275.07,1424253.54,390294.1672222222
390342.24,1424249.96,390361.3372222222
390409.12,1424247.59,390428.2172222222
390145.57,1424339.44,390164.6672222222
390449.32,1424160.94,390468.4172222222
390493.38,1424217.69,390512.4772222222
390311.65,1424295.46,390330.7472222222
390128.63,1424159.47,390147.7272222222
390210.98,1424100.95,390230.0772222222
390509.81,1424118.84,390528.9072222222
390453.8,1424225.8,390472.8972222222
390249.61,1424170.98,390268.7072222222
390144.02,1424369.41,390163.1172222222
390100,1424350,390119.0972222222
390095,1424355,390114.0972222222
2188071.32,1428538.31,2188090.417222222
2188142.88,1428511.74,2188161.977222222
2188106.82,1428499.05,2188125.917222222
2188086.02,1428631.49,2188105.117222222
2188176.8,1428585.19,2188195.897222222
2188107.1,1428525.03,2188126.197222222
2190339,1419685.26,2190358.097222222
2190256.2,1419476.64,2190275.297222222
2190500.05,1419675.36,2190519.147222222
2190194.5,1419784.54,2190213.597222222
2190216.02,1418781.42,2190235.117222222
2190378.12,1419576,2190397.217222222
2186949.75,1428298.53,2186968.847222222
2187189.42,1428172.26,2187208.517222222
2187003.2,1429624.55,2187022.297222222
2187054.46,1429607.12,2187073.557222222
2187029.78,1429650.35,2187048.877222222
2187031.07,1429622.43,2187050.167222222
2190185.53,1422322.27,2190204.627222222
2191202.02,1423219.83,2191221.117222222
2191446.29,1423032.07,2191465.387222222
2191307.77,1422963.13,2191326.867222222
2191717.36,1423026.92,2191736.457222222
2191317.48,1423117.26,2191336.577222222
2186946.93,1431247.32,2186966.027222222
2187072.02,1431215.31,2187091.117222222
2186981.74,1431057.66,2187000.8372222222
2186935.09,1431168.29,2186954.187222222
2186990.54,1431157.3,2187009.637222222
2186431.75,1427971.64,2186450.847222222
2186588.77,1427855.81,2186607.867222222
2186446.53,1427846.53,2186465.627222222
2186621.55,1427746.1,2186640.647222222
2186510.26,1427913.72,2186529.357222222
2186295.61,1427573.77,2186314.707222222
2186834.51,1427509.07,2186853.607222222
2185163.36,1424883.24,2185182.457222222
2185209.23,1424808.59,2185228.327222222
2185346.23,1424990.55,2185365.327222222
2185388.06,1424913.1,2185407.157222222
2180368.69,1417682.8,2180387.787222222
2185275.88,1424900.96,2185294.977222222
2187109.08,1431379.72,2187128.177222222
2187657.52,1430958.38,2187676.617222222
2195125.88,1419376.39,2195144.977222222
389900.15,1429600.3,389919.2472222222
388311.24,1428176.14,388330.3372222222
389477,1428520.64,389496.0972222222
389679.83,1429003.46,389698.9272222222
388243.89,1430042.5,388262.9872222222
387620.48,1429671.44,387639.5772222222
389920.06,1430426.39,389939.1572222222
390371.29,1428795.34,390390.38722222217
391043.75,1430984.11,391062.8472222222
390182.48,1429081.17,390201.5772222222
390519.76,1429265.72,390538.8572222222
391410.15,1429026.97,391429.2472222222
392026.42,1429583.17,392045.5172222222
389785.44,1429462.02,389804.5372222222
389958.33,1429590.61,389977.4272222222
390007.64,1429859.98,390026.7372222222
390139.29,1429860.27,390158.38722222217
390239.94,1430044.55,390259.0372222222
390522.53,1430230.13,390541.6272222222
390490.29,1430598.67,390509.38722222217
390762.96,1430994.52,390782.0572222222
390854.62,1430514.85,390873.7172222222
390790.45,1431116.34,390809.5472222222
390909.11,1430613.1,390928.2072222222
390859.15,1430531.51,390878.2472222222
390871.04,1430422.34,390890.13722222217
390871.74,1430426.39,390890.8372222222
389913.18,1429672.97,389932.2772222222
389890.1,1429677.38,389909.19722222217
389872.12,1429647.96,389891.2172222222
389987.18,1429655.32,390006.2772222222
390034.73,1429639.39,390053.8272222222
389925.8,1429609.32,389944.8972222222
389926.09,1429619.2,389945.1872222222
389925.83,1429628.97,389944.9272222222
389926.19,1429608.8,389945.2872222222
389957.52,1429595.28,389976.6172222222
389952.47,1429594.98,389971.56722222216
389957.6,1429594.92,389976.69722222217
389947.68,1429595.2,389966.7772222222
389989.93,1429593.25,390009.0272222222
389916.95,1429605.13,389936.0472222222
389916.71,1429604.77,389935.8072222222
389916.62,1429604.99,389935.7172222222
389916.74,1429605.34,389935.8372222222
389922.19,1429605.33,389941.2872222222
389918.59,1429588.2,389937.6872222222
389981.87,1429607.54,390000.9672222222
390018.68,1429651.13,390037.7772222222
389911.69,1429589.17,389930.7872222222
389911.57,1429589.64,389930.6672222222
389911.28,1429589.25,389930.3772222222
390131.82,1430292.51,390150.9172222222
390131.83,1430292.51,390150.9272222222
390131.84,1430292.51,390150.9372222222
390131.85,1430292.51,390150.94722222217
390131.86,1430292.51,390150.9572222222
390131.87,1430292.51,390150.9672222222
390131.88,1430292.51,390150.9772222222
390312.14,1430262.76,390331.2372222222
390312.15,1430262.76,390331.2472222222
390312.16,1430262.76,390331.25722222216
390312.17,1430262.76,390331.2672222222
390312.18,1430262.76,390331.2772222222
390312.19,1430262.76,390331.2872222222
390312.2,1430262.76,390331.2972222222
390312.21,1430262.76,390331.3072222222
390442.92,1430205.76,390462.0172222222
390595,1430261.98,390614.0972222222
389887.59,1429512.04,389906.6872222222
389961.3,1429720.87,389980.3972222222
390110.65,1429878.8,390129.7472222222
390204.51,1430030.28,390223.6072222222
389867.44,1429639.64,389886.5372222222
389890.16,1429539.66,389909.25722222216
390300.34,1429900.73,390319.4372222222
390061.63,1430050.5,390080.7272222222
390296.56,1430359.68,390315.6572222222
389791.7,1429449.63,389810.7972222222
389983.59,1429775.17,390002.6872222222
390220.5,1429818.09,390239.5972222222
390321.67,1429882.56,390340.7672222222
390356.9,1429981.36,390375.9972222222
390231.72,1430112.74,390250.81722222216
390505.51,1429997.13,390524.6072222222
390530.21,1430222.15,390549.3072222222
390562.92,1430235.99,390582.0172222222
391055.75,1430912.3,391074.8472222222
391055.75,1430912.36,391074.8472222222
391055.7,1430912.31,391074.7972222222
391123.95,1430838.7,391143.0472222222
391123.96,1430838.73,391143.0572222222
391123.91,1430838.78,391143.00722222216
391184.65,1430770.9,391203.7472222222
391184.67,1430770.98,391203.7672222222
391184.62,1430770.93,391203.7172222222
391128.26,1430868.74,391147.3572222222
391177.69,1430820.43,391196.7872222222
391231.23,1430770.94,391250.3272222222
391118.85,1430901,391137.94722222217
391118.83,1430901.08,391137.9272222222
391118.88,1430901.03,391137.9772222222
391154.55,1430867.5,391173.6472222222
391154.57,1430867.55,391173.6672222222
391154.52,1430867.5,391173.6172222222
391223.15,1430804.3,391242.2472222222
391223.13,1430804.38,391242.2272222222
391223.18,1430804.33,391242.2772222222
391114.64,1430877.9,391133.7372222222
391202.68,1430793.07,391221.7772222222
390118.34,1430295.88,390137.4372222222
390124.49,1430293.69,390143.5872222222
391031.12,1430965.36,391050.2172222222
391037.32,1430969.39,391056.4172222222
391037.08,1430962.78,391056.1772222222
391293.43,1430701.58,391312.5272222222
389868.1,1429538.06,389887.19722222217
389873.94,1429553.59,389893.0372222222
389945.72,1429700.76,389964.81722222216
389906.99,1429544.37,389926.0872222222
389932.74,1429702.61,389951.8372222222
389927.06,1429647.01,389946.1572222222
389992.8,1429645.9,390011.8972222222
389914.7,1429568.36,389933.7972222222
389652.85,1428035.13,389671.94722222217
390018.99,1427749.42,390038.0872222222
389786.58,1427768.96,389805.6772222222
389387.99,1427244.97,389407.0872222222
389548.13,1427482.13,389567.2272222222
389869.95,1427659.54,389889.0472222222
390226.39,1427502.46,390245.4872222222
390225.5,1427252.89,390244.5972222222
389944.15,1427186.62,389963.2472222222
389838.09,1428133.79,389857.1872222222
390602.84,1426744.99,390621.9372222222
390916.92,1427296.42,390936.0172222222
389483.58,1427840.24,389502.6772222222
389580.37,1427808.84,389599.4672222222
389700.89,1427741.09,389719.9872222222
389664.2,1427667.48,389683.2972222222
389621.45,1427636.44,389640.5472222222
389550.39,1427642.55,389569.4872222222
389539.78,1427607.1,389558.8772222222
389492.97,1427124.2,389512.06722222216
389769.71,1427032.75,389788.8072222222
389803.29,1427712.18,389822.38722222217
389870.68,1427715.47,389889.7772222222
389830.44,1427621.51,389849.5372222222
389797.6,1427573.72,389816.69722222217
389890.52,1427565.87,389909.6172222222
389898.9,1427516.36,389917.9972222222
389764.37,1427470.12,389783.4672222222
389910.79,1427455.59,389929.88722222217
389706.74,1427496.63,389725.8372222222
389706.74,1427494.63,389725.8372222222
389706.74,1427492.63,389725.8372222222
0,0,-17976931348623157e292
389675.42,1427150.74,389694.5172222222
390128.87,1426970.38,390147.9672222222
390219.26,1427287.74,390238.3572222222
389313.93,1427083.9,389333.0272222222
389537.42,1427226.83,389556.5172222222
389478.99,1427101.81,389498.0872222222
389489.53,1427151.3,389508.6272222222
389473.95,1427130.53,389493.0472222222
