Well Identification,Lithology,value,to
B04540,"Fill 
(ft bgs)",0,NA
B04540,"Residual Soil
 (ft bgs)",20,NA
B04540,Saprolite (ft bgs),28.5,NA
B04540,"PWR
 (ft bgs)",45,NA
B04540,"Top of Rock 
 (ft bgs)",110,NA
B04540,"Bottom Screen
 (ft bgs)",100,NA
B04540,Measured Well Depth,104.21,NA
B04542,"Fill 
(ft bgs)",0,NA
B04542,"Residual Soil
 (ft bgs)","NA",NA
B04542,Saprolite (ft bgs),35,NA
B04542,"PWR
 (ft bgs)",49,NA
B04542,"Top of Rock 
 (ft bgs)",55,NA
B04542,"Bottom Screen
 (ft bgs)",50,NA
B04542,Measured Well Depth,50.25,NA
B04545,"Fill 
(ft bgs)",0,NA
B04545,"Residual Soil
 (ft bgs)","NA",NA
B04545,Saprolite (ft bgs),45,NA
B04545,"PWR
 (ft bgs)",157,NA
B04545,"Top of Rock 
 (ft bgs)",165,NA
B04545,"Bottom Screen
 (ft bgs)",160,NA
B04545,Measured Well Depth,160.5,NA
B04546,"Fill 
(ft bgs)",0,NA
B04546,"Residual Soil
 (ft bgs)","NA",NA
B04546,Saprolite (ft bgs),7.5,NA
B04546,"PWR
 (ft bgs)",115,NA
B04546,"Top of Rock 
 (ft bgs)",135,NA
B04546,"Bottom Screen
 (ft bgs)",124,NA
B04546,Measured Well Depth,NA,NA
B04547,"Fill 
(ft bgs)",0,NA
B04547,"Residual Soil
 (ft bgs)","NA",NA
B04547,Saprolite (ft bgs),55,NA
B04547,"PWR
 (ft bgs)",155,NA
B04547,"Top of Rock 
 (ft bgs)",165,NA
B04547,"Bottom Screen
 (ft bgs)",163,NA
B04547,Measured Well Depth,NA,NA
B04548,"Fill 
(ft bgs)",0,NA
B04548,"Residual Soil
 (ft bgs)","NA",NA
B04548,Saprolite (ft bgs),12.5,NA
B04548,"PWR
 (ft bgs)",137,NA
B04548,"Top of Rock 
 (ft bgs)",139.5,NA
B04548,"Bottom Screen
 (ft bgs)",137,NA
B04548,Measured Well Depth,NA,NA
B04549,"Fill 
(ft bgs)",0,NA
B04549,"Residual Soil
 (ft bgs)","NA",NA
B04549,Saprolite (ft bgs),55,NA
B04549,"PWR
 (ft bgs)",100,NA
B04549,"Top of Rock 
 (ft bgs)",120,NA
B04549,"Bottom Screen
 (ft bgs)",118,NA
B04549,Measured Well Depth,58.9,NA
B04557,"Fill 
(ft bgs)","NA",NA
B04557,"Residual Soil
 (ft bgs)","NA",NA
B04557,Saprolite (ft bgs),0,NA
B04557,"PWR
 (ft bgs)",102.5,NA
B04557,"Top of Rock 
 (ft bgs)",115,NA
B04557,"Bottom Screen
 (ft bgs)",113,NA
B04557,Measured Well Depth,106.45,NA
B04558,"Fill 
(ft bgs)",0,NA
B04558,"Residual Soil
 (ft bgs)",15,NA
B04558,Saprolite (ft bgs),43,NA
B04558,"PWR
 (ft bgs)",78,NA
B04558,"Top of Rock 
 (ft bgs)",125,NA
B04558,"Bottom Screen
 (ft bgs)",124,NA
B04558,Measured Well Depth,123.35,NA
B04559,"Fill 
(ft bgs)",0,NA
B04559,"Residual Soil
 (ft bgs)","NA",NA
B04559,Saprolite (ft bgs),55,NA
B04559,"PWR
 (ft bgs)",85,NA
B04559,"Top of Rock 
 (ft bgs)",95,NA
B04559,"Bottom Screen
 (ft bgs)",94,NA
B04559,Measured Well Depth,96.03,NA
B04560,"Fill 
(ft bgs)","NA",NA
B04560,"Residual Soil
 (ft bgs)",0,NA
B04560,Saprolite (ft bgs),10,NA
B04560,"PWR
 (ft bgs)",40,NA
B04560,"Top of Rock 
 (ft bgs)",59,NA
B04560,"Bottom Screen
 (ft bgs)",OH,NA
B04560,Measured Well Depth,NA,NA
B04561,"Fill 
(ft bgs)","NA",NA
B04561,"Residual Soil
 (ft bgs)",0,NA
B04561,Saprolite (ft bgs),10,NA
B04561,"PWR
 (ft bgs)",40,NA
B04561,"Top of Rock 
 (ft bgs)",59,NA
B04561,"Bottom Screen
 (ft bgs)",65,NA
B04561,Measured Well Depth,67.15,NA
B04562,"Fill 
(ft bgs)",0,NA
B04562,"Residual Soil
 (ft bgs)",45,NA
B04562,Saprolite (ft bgs),75,NA
B04562,"PWR
 (ft bgs)",122,NA
B04562,"Top of Rock 
 (ft bgs)",187,NA
B04562,"Bottom Screen
 (ft bgs)",184,NA
B04562,Measured Well Depth,NA,NA
B04563,"Fill 
(ft bgs)",0,NA
B04563,"Residual Soil
 (ft bgs)","NA",NA
B04563,Saprolite (ft bgs),45,NA
B04563,"PWR
 (ft bgs)",112,NA
B04563,"Top of Rock 
 (ft bgs)",191,NA
B04563,"Bottom Screen
 (ft bgs)",184,NA
B04563,Measured Well Depth,NA,NA
B04564,"Fill 
(ft bgs)",0,NA
B04564,"Residual Soil
 (ft bgs)","NA",NA
B04564,Saprolite (ft bgs),25,NA
B04564,"PWR
 (ft bgs)",106,NA
B04564,"Top of Rock 
 (ft bgs)",181,NA
B04564,"Bottom Screen
 (ft bgs)",180,NA
B04564,Measured Well Depth,NA,NA
B04565,"Fill 
(ft bgs)",0,NA
B04565,"Residual Soil
 (ft bgs)","NA",NA
B04565,Saprolite (ft bgs),45,NA
B04565,"PWR
 (ft bgs)",120,NA
B04565,"Top of Rock 
 (ft bgs)",229,NA
B04565,"Bottom Screen
 (ft bgs)",218,NA
B04565,Measured Well Depth,NA,NA
B04570,"Fill 
(ft bgs)",0,NA
B04570,"Residual Soil
 (ft bgs)","NA",NA
B04570,Saprolite (ft bgs),45,NA
B04570,"PWR
 (ft bgs)",130,NA
B04570,"Top of Rock 
 (ft bgs)",215,NA
B04570,"Bottom Screen
 (ft bgs)",OH,NA
B04570,Measured Well Depth,NA,NA
B04571,"Fill 
(ft bgs)",0,NA
B04571,"Residual Soil
 (ft bgs)","NA",NA
B04571,Saprolite (ft bgs),35,NA
B04571,"PWR
 (ft bgs)",94,NA
B04571,"Top of Rock 
 (ft bgs)","NA",NA
B04571,"Bottom Screen
 (ft bgs)",94,NA
B04571,Measured Well Depth,"NA",NA
B04572,"Fill 
(ft bgs)",0,NA
B04572,"Residual Soil
 (ft bgs)","NA",NA
B04572,Saprolite (ft bgs),35,NA
