LOCID,ECOORD,NCOORD,ELEV,MPELEV,IBDEPTH,IEDEPTH,maxdepth,zero,ECOORD.1,NCOORD.1,ELEV.1
6MW8,389103.19,1427829.41,1109.5,1110.21,NA,NA,NA,0,389103.19,1427829.41,1109.5
AS-A,390248.363,1430266.231,1094.992188,NA,NA,NA,NA,0,390248.363,1430266.231,1094.992188
AS-B,390309.6258,1430282.789,1093.401645,NA,NA,NA,NA,0,390309.6258,1430282.789,1093.401645
AS-C,390336.669,1430243.625,1086.072952,NA,NA,NA,NA,0,390336.669,1430243.625,1086.072952
ATSG01,390821.878,1430665.573,ND,NA,NA,NA,NA,0,390821.878,1430665.573,ND
B01530,388311.24,1428176.14,1109.92,1109.56,108,118,118,0,388311.24,1428176.14,1109.92
B01531,389477,1428520.64,1110.62,1109.96,43,53,53,0,389477,1428520.64,1110.62
B01532,389679.83,1429003.46,1110.89,1110.45,93,103,103,0,389679.83,1429003.46,1110.89
B01533,388243.89,1430042.5,1107.53,1107.01,74,84,84,0,388243.89,1430042.5,1107.53
B01534,387620.48,1429671.44,1110.28,1109.9,85,95,95,0,387620.48,1429671.44,1110.28
B04539,390371.29,1428795.34,1109.09,1108.6,42.7,52.7,52.7,0,390371.29,1428795.34,1109.09
B04540,390780.8821,1428551.278,1095.74,1031.88,90,100,100,0,390780.8821,1428551.278,1095.74
B04541,390182.48,1429081.17,1108.84,1108.2,30,40,40,0,390182.48,1429081.17,1108.84
B04542,390519.76,1429265.72,1109.1,1108.36,40,50,50,0,390519.76,1429265.72,1109.1
B04543,391410.15,1429026.97,1100.62,1100.29,98,108,108,0,391410.15,1429026.97,1100.62
B04544,392026.42,1429583.17,1090.69,NA,NA,NA,NA,0,392026.42,1429583.17,1090.69
B04545,389785.44,1429462.02,1107.23,1106.79,150,160,160,0,389785.44,1429462.02,1107.23
B04546,389958.33,1429590.61,1109.28,1109.09,114,124,124,0,389958.33,1429590.61,1109.28
B04547,390007.64,1429859.98,1104.54,1104.21,153,163,163,0,390007.64,1429859.98,1104.54
B04548,390139.29,1429860.27,1108.31,1107.92,127,137,137,0,390139.29,1429860.27,1108.31
B04549,390239.94,1430044.55,1096.75,1096.49,118,128,128,0,390239.94,1430044.55,1096.75
B04550,390522.53,1430230.13,1072.34,NA,NA,NA,NA,0,390522.53,1430230.13,1072.34
B04551,390490.29,1430598.67,1075.83,NA,NA,NA,NA,0,390490.29,1430598.67,1075.83
B04552,390762.96,1430994.52,1056.57,NA,NA,NA,NA,0,390762.96,1430994.52,1056.57
B04553,390854.62,1430514.85,1042.37,NA,NA,NA,NA,0,390854.62,1430514.85,1042.37
B04557,390790.45,1431116.34,1055.78,1058.55,43,113,113,0,390790.45,1431116.34,1055.78
B04558,390908.96,1430613.22,1040.41,1043.16,114,124,124,0,390908.96,1430613.22,1040.41
B04559,390858.91,1430531.47,1041.66,1044.45,84,94,94,0,390858.91,1430531.47,1041.66
B04560,390871.041,1430422.336,1047.04,1049.35,87,97,97,0,390871.041,1430422.336,1047.04
B04561,390871.74,1430426.394,1046.82,1049.56,55,65,65,0,390871.74,1430426.394,1046.82
B04562,389913.184,1429672.973,1107.82,1107.63,134,184,184,0,389913.184,1429672.973,1107.82
B04563,389890.096,1429677.377,1107.39,1107.17,124,184,184,0,389890.096,1429677.377,1107.39
B04564,389872.124,1429647.961,1107.23,1107.03,110,180,180,0,389872.124,1429647.961,1107.23
B04565,389987.181,1429655.317,1108.82,1108.59,118,218,218,0,389987.181,1429655.317,1108.82
B04570,390034.7313,1429639.396,1108.95,1108.62,109.5,119.5,119.5,0,390034.7313,1429639.396,1108.95
B04571,389931.3006,1429614.821,1107.7341,1107.63,84,94,94,0,389931.3006,1429614.821,1107.7341
B04572,389930.0901,1429615.701,1107.7341,1107.63,68,78,78,0,389930.0901,1429615.701,1107.7341
B04573,389930.3317,1429612.972,1107.7341,1107.63,50.5,60.5,60.5,0,389930.3317,1429612.972,1107.7341
B04574,389927.1878,1429611.8,1107.7341,1107.64,34,44,44,0,389927.1878,1429611.8,1107.7341
B04575,389961.0237,1429599.279,1109.23992,1108.88,79,89,89,0,389961.0237,1429599.279,1109.23992
B04576,389959.9724,1429598.48,1109.23992,1109,60,70,70,0,389959.9724,1429598.48,1109.23992
B04577,389962.6017,1429600.917,1109.23992,1109.09,45,55,55,0,389962.6017,1429600.917,1109.23992
B04578,389961.6755,1429600.698,1109.23992,1109.07,29,39,39,0,389961.6755,1429600.698,1109.23992
B04579,389989.932,1429593.25,1109.24014,1109,175,195,195,0,389989.932,1429593.25,1109.24014
B04580,389922.4479,1429609.125,1107.4116,1107.18,85.5,95.5,95.5,0,389922.4479,1429609.125,1107.4116
B04581,389917.7127,1429609.274,1107.4116,1107.11,63,73,73,0,389917.7127,1429609.274,1107.4116
B04582,389923.1199,1429609.99,1107.4116,1107.17,50,60,60,0,389923.1199,1429609.99,1107.4116
B04583,389919.2388,1429610.339,1107.4116,1107.16,31,41,41,0,389919.2388,1429610.339,1107.4116
B04584,389922.1881,1429605.329,1107.4879,1106.49,50,60,60,0,389922.1881,1429605.329,1107.4879
B04585,389918.5848,1429588.203,1107.6115,1106.61,50,60,60,0,389918.5848,1429588.203,1107.6115
B04586,389981.8648,1429607.539,1109.029,1108.55,218,228,228,0,389981.8648,1429607.539,1109.029
B04588,390629.3516,1431163.784,1036.385,NA,NA,NA,NA,0,390629.3516,1431163.784,1036.385
B04589,390018.6746,1429651.128,1108.83722,1108.19,5,15,15,0,390018.6746,1429651.128,1108.83722
B04590,389918.1943,1429594.169,1107.554,1107.3,5,15,15,0,389918.1943,1429594.169,1107.554
B04591,389914.0745,1429591.142,1107.554,1107.23,67,77,77,0,389914.0745,1429591.142,1107.554
B04592,389915.7758,1429594.747,1107.554,1107.19,49,59,59,0,389915.7758,1429594.747,1107.554
B04593,390799.9219,1431074.546,1056.63,NA,NA,NA,NA,0,390799.9219,1431074.546,1056.63
B04594,391144.329,1430848.145,1030.48,NA,NA,NA,NA,0,391144.329,1430848.145,1030.48
B04595,391269.2919,1430725.265,1048.54,NA,NA,NA,NA,0,391269.2919,1430725.265,1048.54
B04600A,390135.819,1430298.014,1096.558,1096.01,41,41.1,41.1,0,390135.819,1430298.014,1096.558
B04600B,390134.919,1430297.014,1096.558,1096.01,48,48.1,48.1,0,390134.919,1430297.014,1096.558
B04600C,390133.919,1430293.914,1096.558,1096.01,55,55.1,55.1,0,390133.919,1430293.914,1096.558
B04600D,390137.919,1430300.914,1096.558,1096.01,62,62.1,62.1,0,390137.919,1430300.914,1096.558
B04600E,390133.419,1430295.414,1096.558,1096.01,69,69.1,69.1,0,390133.419,1430295.414,1096.558
B04600F,390135.419,1430294.414,1096.558,1096.01,76,76.1,76.1,0,390135.419,1430294.414,1096.558
B04601A,390316.639,1430265.756,1093.082,1092.83,45,45.1,45.1,0,390316.639,1430265.756,1093.082
B04601B,390316.739,1430267.756,1093.082,1092.83,54,54.1,54.1,0,390316.739,1430267.756,1093.082
B04601C,390313.239,1430267.156,1093.082,1092.83,63,63.1,63.1,0,390313.239,1430267.156,1093.082
B04601D,390320.739,1430268.656,1093.082,1092.83,72,72.1,72.1,0,390320.739,1430268.656,1093.082
B04601E,390315.239,1430265.656,1093.082,1092.83,81,81.1,81.1,0,390315.239,1430265.656,1093.082
B04601F,390313.739,1430266.156,1093.082,1092.83,90,90.1,90.1,0,390313.739,1430266.156,1093.082
B04601G,390314.239,1430265.656,1093.082,1092.83,99,99.1,99.1,0,390314.239,1430265.656,1093.082
B04602,390442.66,1430205.21,1075.66,1075.39,45,55,55,0,390442.66,1430205.21,1075.66
B04603,390594.995,1430261.984,1070.79,1070.63,55,65,65,0,390594.995,1430261.984,1070.79
B04604,389887.589,1429512.04,1108.66,1108.16,85,95,95,0,389887.589,1429512.04,1108.66
B04605,389961.298,1429720.866,1104.815,1104.5,70,80,80,0,389961.298,1429720.866,1104.815
B04606,390110.65,1429878.796,1107.651,1107.4,71,81,81,0,390110.65,1429878.796,1107.651
B04607,390204.508,1430030.281,1098.011,1097.62,95,105,105,0,390204.508,1430030.281,1098.011
B04608,389867.444,1429639.641,1107.087,1106.72,88,98,98,0,389867.444,1429639.641,1107.087
B04609,389913.928,1429731.949,1105.175,NA,NA,NA,NA,0,389913.928,1429731.949,1105.175
B04610,389981.653,1429841.223,1103.44,NA,NA,NA,NA,0,389981.653,1429841.223,1103.44
B04611,389983.135,1429581.173,1109.415,NA,NA,NA,NA,0,389983.135,1429581.173,1109.415
B04612,389979.161,1429644.652,1108.858,NA,NA,NA,NA,0,389979.161,1429644.652,1108.858
B04613,390148.584,1429862.009,1108.304,NA,NA,NA,NA,0,390148.584,1429862.009,1108.304
B04615,391056.419,1430930.731,1028.119,NA,NA,NA,NA,0,391056.419,1430930.731,1028.119
B04616,391070.077,1430904.825,1027.364,NA,NA,NA,NA,0,391070.077,1430904.825,1027.364
B04617,391052.78,1430956.15,1029.95,NA,NA,NA,NA,0,391052.78,1430956.15,1029.95
B04618,391060.95,1430941.95,1028.17,NA,NA,NA,NA,0,391060.95,1430941.95,1028.17
B04619,391068.24,1430929.05,1028.31,NA,NA,NA,NA,0,391068.24,1430929.05,1028.31
B04620,391074.09,1430914.24,1026.34,NA,NA,NA,NA,0,391074.09,1430914.24,1026.34
B04621,391079.48,1430900.74,1027.08,NA,NA,NA,NA,0,391079.48,1430900.74,1027.08
B04622,391088.04,1430889.26,1027.18,NA,NA,NA,NA,0,391088.04,1430889.26,1027.18
B04623,391094.38,1430871.47,1027.47,NA,NA,NA,NA,0,391094.38,1430871.47,1027.47
B04624,391101.82,1430855.98,1027.9,NA,NA,NA,NA,0,391101.82,1430855.98,1027.9
B04625,391108.89,1430844.87,1028.23,NA,NA,NA,NA,0,391108.89,1430844.87,1028.23
B04626,391131.23,1430845.35,1028.21,NA,NA,NA,NA,0,391131.23,1430845.35,1028.21
B04627,391135.63,1430824.86,1030.21,NA,NA,NA,NA,0,391135.63,1430824.86,1030.21
B04628,391147.95,1430813.81,1030.93,NA,NA,NA,NA,0,391147.95,1430813.81,1030.93
B04629,391159.09,1430804.51,1032.3,NA,NA,NA,NA,0,391159.09,1430804.51,1032.3
B04631,391181.81,1430787.91,1035.75,NA,NA,NA,NA,0,391181.81,1430787.91,1035.75
B04632,391195.94,1430782.7,1036.3,NA,NA,NA,NA,0,391195.94,1430782.7,1036.3
B04633,391211.16,1430766.66,1038.54,NA,NA,NA,NA,0,391211.16,1430766.66,1038.54
B04634,391229.03,1430750.44,1041.3,NA,NA,NA,NA,0,391229.03,1430750.44,1041.3
B04635,391238.06,1430740.12,1042.59,NA,NA,NA,NA,0,391238.06,1430740.12,1042.59
B04636,391249.04,1430730.53,1044.77,NA,NA,NA,NA,0,391249.04,1430730.53,1044.77
B04637,391267.38,1430723.54,1047.76,NA,NA,NA,NA,0,391267.38,1430723.54,1047.76
B04638,391288.66,1430716.48,1052.12,NA,NA,NA,NA,0,391288.66,1430716.48,1052.12
B04639,389890.1662,1429539.663,1107.746211,1107.37,140,160,160,0,389890.1662,1429539.663,1107.746211
B04640,390300.3383,1429900.733,1106.071694,1105.8,147,167,167,0,390300.3383,1429900.733,1106.071694
B04641,390061.6323,1430050.505,1099.830753,1099.21,156,176,176,0,390061.6323,1430050.505,1099.830753
B04642,390296.5623,1430359.684,1094.086439,1093.65,115,135,135,0,390296.5623,1430359.684,1094.086439
B04643,389791.7027,1429449.639,1107.311582,1107.08,94,164,164,0,389791.7027,1429449.639,1107.311582
B04644,389771.289,1429485.818,1107.359043,NA,NA,NA,NA,0,389771.289,1429485.818,1107.359043
B04645,389884.8177,1429500.781,1108.321394,NA,NA,NA,NA,0,389884.8177,1429500.781,1108.321394
B04646,389884.2913,1429559.384,1107.548684,NA,NA,NA,NA,0,389884.2913,1429559.384,1107.548684
B04647,389966.3771,1429562.29,1109.380307,NA,NA,NA,NA,0,389966.3771,1429562.29,1109.380307
B04648,389905.289,1429751.562,1104.112183,NA,NA,NA,NA,0,389905.289,1429751.562,1104.112183
B04649,389983.5931,1429775.173,1105.454984,1104.58,192,247,247,0,389983.5931,1429775.173,1105.454984
B04650,390115.8128,1429674.137,1108.786654,NA,NA,NA,NA,0,390115.8128,1429674.137,1108.786654
B04651,389911.5831,1429815.195,1103.174978,NA,NA,NA,NA,0,389911.5831,1429815.195,1103.174978
B04652,389995.2557,1429891.404,1101.523762,NA,NA,NA,NA,0,389995.2557,1429891.404,1101.523762
B04653,390153.1505,1429858.997,1108.150483,NA,NA,NA,NA,0,390153.1505,1429858.997,1108.150483
B04654,390220.4994,1429818.094,1108.006809,1107.53,147,157,157,0,390220.4994,1429818.094,1108.006809
B04655,390033.8908,1429973.058,1100.86902,NA,NA,NA,NA,0,390033.8908,1429973.058,1100.86902
B04656,390114.516,1429996.464,1099.889264,NA,NA,NA,NA,0,390114.516,1429996.464,1099.889264
B04657,390226.7532,1429908.624,1106.000592,NA,NA,NA,NA,0,390226.7532,1429908.624,1106.000592
B04658,390321.6739,1429882.563,1106.548075,1106.61,125,135,135,0,390321.6739,1429882.563,1106.548075
B04659,390035.6121,1430058.227,1099.062242,NA,NA,NA,NA,0,390035.6121,1430058.227,1099.062242
B04660,390125.0299,1430036.039,1098.773411,NA,NA,NA,NA,0,390125.0299,1430036.039,1098.773411
B04661,390237.4179,1430037.576,1096.801839,NA,NA,NA,NA,0,390237.4179,1430037.576,1096.801839
B04662,390356.8984,1429981.365,1094.230805,1094.1,80,120,120,0,390356.8984,1429981.365,1094.230805
B04663,390451.1653,1429978.189,1089.553288,NA,NA,NA,NA,0,390451.1653,1429978.189,1089.553288
B04664,390107.5051,1430144.18,1097.500217,NA,NA,NA,NA,0,390107.5051,1430144.18,1097.500217
B04665,390231.7265,1430112.749,1096.822596,1100.3,112,142,142,0,390231.7265,1430112.749,1096.822596
B04666,390305.0903,1430103.482,1092.87781,NA,NA,NA,NA,0,390305.0903,1430103.482,1092.87781
B04667,390505.5065,1429997.131,1086.93448,1086.44,53,68,68,0,390505.5065,1429997.131,1086.93448
B04668,390396.3069,1430167.179,1077.960664,NA,NA,NA,NA,0,390396.3069,1430167.179,1077.960664
B04669,390530.2112,1430222.148,1072.613507,1072.01,50,60,60,0,390530.2112,1430222.148,1072.613507
B04670,390562.9171,1430235.989,1070.435398,1070.77,50,105,105,0,390562.9171,1430235.989,1070.435398
B04671,389870.85,1429510.55,1107.99,NA,NA,NA,NA,0,389870.85,1429510.55,1107.99
B04672,389889,1429505.79,1108.55,NA,NA,NA,NA,0,389889,1429505.79,1108.55
B04673,389920.43,1429495.4,1109.93,NA,NA,NA,NA,0,389920.43,1429495.4,1109.93
B04674,389899.61,1429546.64,1107.72,NA,NA,NA,NA,0,389899.61,1429546.64,1107.72
B04675,389955.4,1429574.5,1109.32,NA,NA,NA,NA,0,389955.4,1429574.5,1109.32
B04676,389849.77,1429655.09,1106.71,NA,NA,NA,NA,0,389849.77,1429655.09,1106.71
B04677,389909.14,1429645.8,1108.03,NA,NA,NA,NA,0,389909.14,1429645.8,1108.03
B04678,389982.02,1429633.9,1108.89,NA,NA,NA,NA,0,389982.02,1429633.9,1108.89
B04679,389962.9,1429710.4,1104.8,NA,NA,NA,NA,0,389962.9,1429710.4,1104.8
B04680,389965.38,1429738.79,1105.4,NA,NA,NA,NA,0,389965.38,1429738.79,1105.4
B04681,391060.7021,1430915.315,1026.805601,1026.57,NA,NA,NA,0,391060.7021,1430915.315,1026.805601
B04682,391063.8021,1430918.315,1026.805601,1026.57,60,70,70,0,391063.8021,1430918.315,1026.805601
B04683,391056.3021,1430915.215,1026.805601,1026.57,85,100,100,0,391056.3021,1430915.215,1026.805601
B04684,391126.4137,1430845.777,1029.287306,1029.03,NA,NA,NA,0,391126.4137,1430845.777,1029.287306
B04685,391129.5137,1430846.277,1029.287306,1029.03,50,60,60,0,391129.5137,1430846.277,1029.287306
B04686,391124.0137,1430841.677,1029.287306,1029.03,75,100,100,0,391124.0137,1430841.677,1029.287306
B04687,391188.6171,1430774.432,1034.664506,1034.52,NA,NA,NA,0,391188.6171,1430774.432,1034.664506
B04688,391190.7171,1430778.432,1034.664506,1034.52,NA,NA,NA,0,391190.7171,1430778.432,1034.664506
B04689,391187.2171,1430772.832,1034.664506,1034.52,87.4,97.4,97.4,0,391187.2171,1430772.832,1034.664506
B04690,391128.2617,1430868.743,1027.26585,1027.22,35.5,55.5,55.5,0,391128.2617,1430868.743,1027.26585
B04691,391177.692,1430820.433,1031.786246,1031.6,45,55,55,0,391177.692,1430820.433,1031.786246
B04692,391231.2309,1430770.938,1039.872027,1039.79,70,80,80,0,391231.2309,1430770.938,1039.872027
B04693,391123.3776,1430904.526,1024.680849,1024.11,NA,NA,NA,0,391123.3776,1430904.526,1024.680849
B04694,391125.9776,1430907.026,1024.680849,1024.11,NA,NA,NA,0,391125.9776,1430907.026,1024.680849
B04695,391120.9776,1430903.426,1024.680849,1024.11,75,95,95,0,391120.9776,1430903.426,1024.680849
B04696,391158.522,1430870.498,1028.476624,1028.44,NA,NA,NA,0,391158.522,1430870.498,1028.476624
B04697,391159.622,1430876.998,1028.476624,1028.44,NA,NA,NA,0,391159.622,1430876.998,1028.476624
B04698,391157.122,1430868.898,1028.476624,1028.44,83,93,93,0,391157.122,1430868.898,1028.476624
B04699,391227.6783,1430807.83,1036.07722,1035.67,48,58,58,0,391227.6783,1430807.83,1036.07722
B04700,391230.2783,1430810.83,1036.07722,1035.67,NA,NA,NA,0,391230.2783,1430810.83,1036.07722
B04701,391225.2783,1430806.23,1036.07722,1035.67,90,110,110,0,391225.2783,1430806.23,1036.07722
B04702,391085.92,1430912.8,1025,NA,NA,NA,NA,0,391085.92,1430912.8,1025
B04703,391085.62,1430915.12,1025,NA,NA,NA,NA,0,391085.62,1430915.12,1025
B04704,391107.4279,1430894.732,1024.767402,NA,NA,NA,NA,0,391107.4279,1430894.732,1024.767402
B04705,391108.0279,1430892.232,1024.767402,NA,NA,NA,NA,0,391108.0279,1430892.232,1024.767402
B04706,391117.6377,1430882.396,1025.797284,NA,NA,NA,NA,0,391117.6377,1430882.396,1025.797284
B04707,391119.7377,1430882.396,1025.797284,1025.94,53,68,68,0,391119.7377,1430882.396,1025.797284
B04708,391141.3324,1430861.655,1027.669828,NA,NA,NA,NA,0,391141.3324,1430861.655,1027.669828
B04709,391138.9324,1430861.155,1027.669828,NA,NA,NA,NA,0,391138.9324,1430861.155,1027.669828
B04710,391163.6956,1430841.969,1030.384892,NA,NA,NA,NA,0,391163.6956,1430841.969,1030.384892
B04711,391159.2956,1430840.469,1030.384892,NA,NA,NA,NA,0,391159.2956,1430840.469,1030.384892
B04712,391189.056,1430812.484,1032.680019,NA,NA,NA,NA,0,391189.056,1430812.484,1032.680019
B04713,391192.656,1430811.984,1032.680019,NA,NA,NA,NA,0,391192.656,1430811.984,1032.680019
B04714,391208.6783,1430796.575,1034.848773,NA,NA,NA,NA,0,391208.6783,1430796.575,1034.848773
B04715,391207.2783,1430796.075,1034.848773,1034.71,68,88,88,0,391207.2783,1430796.075,1034.848773
B04716,391227.0856,1430777.746,1038.706919,NA,NA,NA,NA,0,391227.0856,1430777.746,1038.706919
B04717,391230.1856,1430774.746,1038.706919,NA,NA,NA,NA,0,391230.1856,1430774.746,1038.706919
B04718,391251.7876,1430756.247,1042.48429,NA,NA,NA,NA,0,391251.7876,1430756.247,1042.48429
B04719,391247.8876,1430756.247,1042.48429,NA,NA,NA,NA,0,391247.8876,1430756.247,1042.48429
B04720,391266.7323,1430730.748,1047.122828,NA,NA,NA,NA,0,391266.7323,1430730.748,1047.122828
B04721,391078.5187,1430908.909,1025.132208,NA,NA,NA,NA,0,391078.5187,1430908.909,1025.132208
B04722,391105.8015,1430879.636,1025.772986,NA,NA,NA,NA,0,391105.8015,1430879.636,1025.772986
B04723,391139.6896,1430846.02,1029.297963,NA,NA,NA,NA,0,391139.6896,1430846.02,1029.297963
B04724,391188.0979,1430802.426,1033.122878,NA,NA,NA,NA,0,391188.0979,1430802.426,1033.122878
B04725,391215.7079,1430773.917,1037.469464,NA,NA,NA,NA,0,391215.7079,1430773.917,1037.469464
B04726,391263.0433,1430728.763,1046.489896,NA,NA,NA,NA,0,391263.0433,1430728.763,1046.489896
B04729,390118.3434,1430295.875,1096.7587,1096.24,80,90,90,0,390118.3434,1430295.875,1096.7587
B04730,390124.4902,1430293.687,1096.7575,1096.5,125,135,135,0,390124.4902,1430293.687,1096.7575
B04731,390189.941,1431015.566,1079.6241,NA,NA,NA,NA,0,390189.941,1431015.566,1079.6241
B04732D,390309.796,1431181.549,1038.7817,NA,NA,NA,NA,0,390309.796,1431181.549,1038.7817
B04732S,390301.8689,1431184.593,1038.9144,NA,NA,NA,NA,0,390301.8689,1431184.593,1038.9144
B04733,390601.4886,1431264.668,1030.7094,NA,NA,NA,NA,0,390601.4886,1431264.668,1030.7094
B04734,391031.1198,1430965.356,1031.9145,1031.75,48,58,58,0,391031.1198,1430965.356,1031.9145
B04735,391037.3152,1430969.391,1031.92,1031.52,65,75,75,0,391037.3152,1430969.391,1031.92
B04736,391037.0776,1430962.78,1031.3186,1030.94,88,98,98,0,391037.0776,1430962.78,1031.3186
B04737,391293.4254,1430701.575,1053.6798,1053.2,42,52,52,0,391293.4254,1430701.575,1053.6798
B04FRAC,389952.9567,1429600.879,1109.13,NA,NA,NA,NA,0,389952.9567,1429600.879,1109.13
B04MIP01,389868.1052,1429538.069,1107.57,NA,NA,NA,NA,0,389868.1052,1429538.069,1107.57
B04MIP02,389896.6821,1429525.369,1107.89,NA,NA,NA,NA,0,389896.6821,1429525.369,1107.89
B04MIP03,389873.9411,1429553.591,1107.51,NA,NA,NA,NA,0,389873.9411,1429553.591,1107.51
B04MIP04,389945.7287,1429700.76,1105.61,NA,NA,NA,NA,0,389945.7287,1429700.76,1105.61
B04MIP05,389912.2573,1429593.959,1107.49,NA,NA,NA,NA,0,389912.2573,1429593.959,1107.49
B04MIP06,389898.9199,1429611.039,1107.28,NA,NA,NA,NA,0,389898.9199,1429611.039,1107.28
B04MIP07,389965.6731,1429676.815,1108.63,NA,NA,NA,NA,0,389965.6731,1429676.815,1108.63
B04MIP08,389906.9963,1429544.371,1108.01,NA,NA,NA,NA,0,389906.9963,1429544.371,1108.01
B04MIP09,389881.662,1429655.24,1107.33,NA,NA,NA,NA,0,389881.662,1429655.24,1107.33
B04MIP10,389932.7397,1429702.616,1105.65,NA,NA,NA,NA,0,389932.7397,1429702.616,1105.65
B04MIP11,389927.0653,1429647.014,1108.53,NA,NA,NA,NA,0,389927.0653,1429647.014,1108.53
B04MIP12,389992.8086,1429645.906,1108.76,NA,NA,NA,NA,0,389992.8086,1429645.906,1108.76
